,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Абазинский муниципальный район,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Абанский муниципальный район,2,2,2,2,2,4,4,2,2,2,2,2,9,9,9,9,9,8,8,8,8,8,8,8
Абатский муниципальный район,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Абзелиловский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,5,5,5
Агинский муниципальный район,1,1,1,0,0,0,0,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1
Агрызский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8
Адамовский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Азнакаевский муниципальный район,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8
Азовский немецкий национальный муниципальный район,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Акбулакский муниципальный район,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8
Аксубаевский муниципальный район,2,2,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8
Актанышский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8
Алагирский муниципальный район,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Аларский муниципальный район,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Алданский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Александро-Невский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Александрово-Гайский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Александровский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,8,8,8,8,8,8,8,8
Аликовский муниципальный округ,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8
Алькеевский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8
Альменевский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Альметьевский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Альшеевский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8
Амгинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Амурский муниципальный район,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,1,1,1,1,1
Анадырский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Андроповский муниципальный округ,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Антроповский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Анучинский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,8,8,8,8,8,8,8
Апанасенковский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Апастовский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8
Аргаяшский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,8,8,8,8,8,8,8,8,8
Ардатовский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,8,8,8,8,8,8,8,8
Ардатовский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8
Ардонский муниципальный район,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Арзгирский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Аркадакский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8
Армизонский муниципальный район,2,2,2,2,2,2,2,2,2,2,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Аромашевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,9,9,9,8,8,8,8,8,8
Арсеньевский муниципальный район,2,2,2,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Арский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Архангельский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,8,8,8,8,8,8,8,8,8
Архаринский муниципальный округ,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,1,1,1,8,8
Асекеевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8
Асиновский муниципальный район,0,0,0,0,0,1,1,1,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Аскинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8
Аткарский муниципальный район,2,2,2,0,0,0,0,0,2,2,2,2,2,9,9,9,8,8,8,8,8,8,8,8
Атнинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8
Атюрьевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8
Атяшевский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,8,8,8,8,8,8,8,8,8,8
Аургазинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8
Ахтубинский муниципальный район,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Ашинский муниципальный район,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8,8
Бабаевский муниципальный округ,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,8,8
Бабушкинский муниципальный округ,2,2,2,2,2,4,4,4,4,4,4,9,9,9,9,9,8,8,8,8,8,8,8,8
