mo,community
Абазинский муниципальный район,1
Абанский муниципальный район,3
Абатский муниципальный район,0
Абзелиловский муниципальный район,6
Агинский муниципальный район,6
Агрызский муниципальный район,5
Адамовский муниципальный район,0
Азнакаевский муниципальный район,5
Азовский немецкий национальный муниципальный район,3
Акбулакский муниципальный район,5
Аксубаевский муниципальный район,5
Актанышский муниципальный район,5
Алагирский муниципальный район,1
Аларский муниципальный район,6
Алданский муниципальный район,11
Александро-Невский муниципальный район,3
Александрово-Гайский муниципальный район,0
Александровский муниципальный округ,3
Аликовский муниципальный округ,5
Алькеевский муниципальный район,5
Альменевский муниципальный округ,0
Альметьевский муниципальный район,9
Альшеевский муниципальный район,5
Амгинский муниципальный район,11
Амурский муниципальный район,11
Анадырский муниципальный район,11
Андроповский муниципальный округ,3
Антроповский муниципальный район,0
Анучинский муниципальный округ,3
Апанасенковский муниципальный округ,0
Апастовский муниципальный район,5
Аргаяшский муниципальный район,3
Ардатовский муниципальный округ,0
Ардатовский муниципальный район,0
Ардонский муниципальный район,1
Арзгирский муниципальный округ,0
Аркадакский муниципальный район,3
Армизонский муниципальный район,0
Аромашевский муниципальный район,0
Арсеньевский муниципальный район,3
Арский муниципальный район,5
Архангельский муниципальный район,3
Архаринский муниципальный округ,6
Асекеевский муниципальный район,3
Асиновский муниципальный район,6
Аскинский муниципальный район,5
Аткарский муниципальный район,3
Атнинский муниципальный район,5
Атюрьевский муниципальный район,5
Атяшевский муниципальный район,3
Аургазинский муниципальный район,5
Ахтубинский муниципальный район,3
Ашинский муниципальный район,10
Бабаевский муниципальный округ,6
Бабушкинский муниципальный округ,3
Бабынинский муниципальный район,10
Бавлинский муниципальный район,5
Баганский муниципальный район,3
Баевский муниципальный район,0
Базарно-Карабулакский муниципальный район,0
Базарносызганский муниципальный район,0
Бай-Тайгинский муниципальный район,6
Байкаловский муниципальный район,0
Баймакский муниципальный район,5
Бакалинский муниципальный район,5
Бакчарский муниципальный район,0
Балаганский муниципальный район,0
Балаковский муниципальный район,9
Балахнинский муниципальный округ,6
Балахтинский муниципальный район,6
Балашовский муниципальный район,5
Балейский муниципальный район,6
Балтайский муниципальный район,0
Балтасинский муниципальный район,5
Балтачевский муниципальный район,5
Барабинский муниципальный район,6
Барун-Хемчикский муниципальный район,6
Барышский муниципальный район,0
Барятинский муниципальный район,0
Батыревский муниципальный округ,5
Башмаковский муниципальный район,3
Баяндаевский муниципальный район,6
Бежаницкий муниципальный район,5
Безенчукский муниципальный район,10
Бейский муниципальный район,6
Бековский муниципальный район,5
Белебеевский муниципальный район,9
Белевский муниципальный район,3
Белинский муниципальный район,0
Беловский муниципальный округ,10
Белогорский муниципальный округ,6
Белокатайский муниципальный район,5
Беломорский муниципальный округ,10
Белорецкий муниципальный район,9
Белохолуницкий муниципальный район,0
Белоярский муниципальный район,11
Беляевский муниципальный район,10
Бердюжский муниципальный район,0
Бессоновский муниципальный район,6
Бижбулякский муниципальный район,5
Бийский муниципальный район,6
Бикинский муниципальный район,11
Билибинский муниципальный район,11
Бирилюсский муниципальный район,0
Биробиджанский муниципальный район,9
Бирский муниципальный район,9
Благоварский муниципальный район,5
Благовещенский муниципальный округ,11
Благодарненский муниципальный округ,3
Богатовский муниципальный район,3
Богородицкий муниципальный район,10
Богородский муниципальный округ,6
Боградский муниципальный район,0
Богучанский муниципальный район,10
Бокситогорский муниципальный район,10
Болотнинский муниципальный район,6
Болховский муниципальный район,3
Большеберезниковский муниципальный район,0
Большеболдинский муниципальный округ,0
Большеглушицкий муниципальный район,0
