alpha,archetype_1,archetype_2,cross_coassignment
0.5,A,B,0.00014473874656245476
0.5,A,C,0.031792614331132306
0.5,A,D,0.02109117878830019
0.5,A,E,0.010676427972241288
0.5,A,F,0.08413039234823345
0.5,A,G,7.349428581927755e-05
0.5,B,C,0.0
0.5,B,D,0.0002667733760170735
0.5,B,E,0.2524687294272548
0.5,B,F,0.0
0.5,B,G,0.0
0.5,C,D,0.0
0.5,C,E,0.0
0.5,C,F,0.033111884424760096
0.5,C,G,0.07060925495801322
0.5,D,E,0.019678122144915315
0.5,D,F,0.46459195298914674
0.5,D,G,0.0
0.5,E,F,0.0
0.5,E,G,0.0
0.5,F,G,0.4390042940216444
0.7,A,B,0.0
0.7,A,C,0.0
0.7,A,D,0.0
0.7,A,E,0.0
0.7,A,F,0.0
0.7,A,G,0.0
0.7,B,C,0.0
0.7,B,D,0.0
0.7,B,E,0.0
0.7,B,F,0.0
0.7,B,G,0.0
0.7,C,D,0.0
0.7,C,E,0.0
0.7,C,F,0.0
0.7,C,G,0.0
0.7,D,E,0.0
0.7,D,F,0.0
0.7,D,G,0.0
0.7,E,F,0.0
0.7,E,G,0.0
0.7,F,G,0.0
0.9,A,B,0.0
0.9,A,C,0.0
0.9,A,D,0.039679228665461454
0.9,A,E,0.00854114237779303
0.9,A,F,0.1251003101481337
0.9,A,G,0.0027119391467313415
0.9,B,C,0.0
0.9,B,D,0.0006002400960384153
0.9,B,E,0.10236998025016458
0.9,B,F,0.0
0.9,B,G,0.0
0.9,C,D,0.0
0.9,C,E,0.0
0.9,C,F,0.03511546978804176
0.9,C,G,0.2910487761300697
0.9,D,E,0.13518167123480215
0.9,D,F,0.7528132557814156
0.9,D,G,0.05815300213349588
0.9,E,F,0.09664266219460063
0.9,E,G,0.007437740264081565
0.9,F,G,0.1529147058357497
