alpha,archetype,baseline_community_id,dec_n,dec_dominant_alt_community,dec_retention,dec_precision,dec_jaccard,global_node_month_n,global_dominant_alt_community,global_retention,global_precision,global_jaccard
0.5,A,1,141,1,0.9290780141843972,0.8291139240506329,0.7797619047619048,4384,1,0.9144616788321168,0.8617798796216681,0.797493534911478
0.5,B,3,98,3,0.9897959183673469,0.6783216783216783,0.6736111111111112,2560,3,0.9640625,0.6789546079779918,0.6621947947410786
0.5,C,7,29,5,0.896551724137931,0.7647058823529411,0.7027027027027027,694,5,0.7219020172910663,0.73568281938326,0.5732265446224256
0.5,D,8,153,6,0.9738562091503268,0.4837662337662338,0.4775641025641026,4096,6,0.949951171875,0.5571305841924399,0.5412435665600223
0.5,E,9,186,7,0.7526881720430108,0.9395973154362416,0.717948717948718,4188,7,0.7120343839541547,0.9269505750699409,0.6742030296179063
0.5,F,10,327,6,0.47706422018348627,0.5064935064935064,0.325678496868476,1942,6,0.4474768280123584,0.12442726231386025,0.10785652227876381
0.5,G,11,965,8,0.9968911917098445,0.8674481514878268,0.8651079136690647,10133,8,0.7619658541399388,0.8782846092594699,0.6891903954297955
0.7,A,1,141,1,1.0,1.0,1.0,4384,1,1.0,1.0,1.0
0.7,B,3,98,3,1.0,1.0,1.0,2560,3,1.0,1.0,1.0
0.7,C,7,29,7,1.0,1.0,1.0,694,7,1.0,1.0,1.0
0.7,D,8,153,8,1.0,1.0,1.0,4096,8,1.0,1.0,1.0
0.7,E,9,186,9,1.0,1.0,1.0,4188,9,1.0,1.0,1.0
0.7,F,10,327,10,1.0,1.0,1.0,1942,10,1.0,1.0,1.0
0.7,G,11,965,11,1.0,1.0,1.0,10133,11,1.0,1.0,1.0
0.9,A,1,141,1,0.9361702127659575,0.7674418604651163,0.7292817679558011,4384,1,0.8093065693430657,0.8706748466257669,0.7224597841580126
0.9,B,3,98,9,0.9693877551020408,0.8636363636363636,0.8407079646017699,2560,9,0.7953125,0.9531835205992509,0.7654135338345864
0.9,C,7,29,6,0.6551724137931034,1.0,0.6551724137931034,694,6,0.6023054755043228,0.7655677655677655,0.5085158150851582
0.9,D,8,153,10,0.9673202614379085,0.30265848670756645,0.29959514170040485,4096,2,0.55419921875,0.6358543417366946,0.4206819866567828
0.9,E,9,186,5,0.7903225806451613,0.9607843137254902,0.765625,4188,5,0.9436485195797517,0.8587570621468926,0.8168664737494833
0.9,F,10,327,10,0.7767584097859327,0.5194274028629857,0.45195729537366547,1942,10,0.6709577754891864,0.4057925879788228,0.33844155844155843
0.9,G,11,965,11,0.9378238341968912,0.9496327387198321,0.8933859822309971,10133,11,0.654889963485641,0.9481354479211316,0.6322408536585366
