alpha,period,ARI_vs_70,NMI_vs_70
0.5,2023-01-01,0.6722896934758583,0.7334064544555411
0.5,2023-02-01,0.6722896934758583,0.7334064544555411
0.5,2023-03-01,0.6347949418192904,0.7090942816014876
0.5,2023-04-01,0.5578148748547965,0.67557856058146
0.5,2023-05-01,0.5083123095034728,0.6504404833456283
0.5,2023-06-01,0.49791928323498164,0.6643982631311426
0.5,2023-07-01,0.5334738960731289,0.6761378383917047
0.5,2023-08-01,0.5893713887067062,0.6943763028053224
0.5,2023-09-01,0.5835235666927375,0.6898338362070158
0.5,2023-10-01,0.5556432319394994,0.6870464054523944
0.5,2023-11-01,0.5015583812111811,0.6727121075964861
0.5,2023-12-01,0.4449547202970084,0.6560735294276979
0.5,2024-01-01,0.40435289530735746,0.6283894647431735
0.5,2024-02-01,0.4116937134833889,0.6103225264694028
0.5,2024-03-01,0.4077834456653234,0.5870731622832782
0.5,2024-04-01,0.4327640243725332,0.6012589648558858
0.5,2024-05-01,0.48435575049302376,0.6286700682817373
0.5,2024-06-01,0.6403894924789918,0.6622106426553633
0.5,2024-07-01,0.7952312448139702,0.7111227013679614
0.5,2024-08-01,0.7869720464953268,0.7209823520385443
0.5,2024-09-01,0.7677793878832672,0.7286877952735358
0.5,2024-10-01,0.746433956582228,0.7311362413725683
0.5,2024-11-01,0.7366440599486769,0.7310539041430701
0.5,2024-12-01,0.7366440599486769,0.7310539041430701
0.7,2023-01-01,1.0,1.0
0.7,2023-02-01,1.0,1.0
0.7,2023-03-01,1.0,1.0
0.7,2023-04-01,1.0,1.0
0.7,2023-05-01,1.0,1.0
0.7,2023-06-01,1.0,1.0
0.7,2023-07-01,1.0,1.0
0.7,2023-08-01,1.0,1.0
0.7,2023-09-01,1.0,1.0
0.7,2023-10-01,1.0,1.0
0.7,2023-11-01,1.0,1.0
0.7,2023-12-01,1.0,1.0
0.7,2024-01-01,1.0,1.0
0.7,2024-02-01,1.0,1.0
0.7,2024-03-01,1.0,1.0
0.7,2024-04-01,1.0,1.0
0.7,2024-05-01,1.0,1.0
0.7,2024-06-01,1.0,1.0
0.7,2024-07-01,1.0,1.0
0.7,2024-08-01,1.0,1.0
0.7,2024-09-01,1.0,1.0
0.7,2024-10-01,1.0,1.0
0.7,2024-11-01,1.0,1.0
0.7,2024-12-01,1.0,1.0
0.9,2023-01-01,0.63331332462051,0.6565400202773847
0.9,2023-02-01,0.63331332462051,0.6565400202773847
0.9,2023-03-01,0.631250774625729,0.6641006143288842
0.9,2023-04-01,0.6076604155467823,0.6701198178718697
0.9,2023-05-01,0.5759385916844431,0.6582612120254552
0.9,2023-06-01,0.5384308390378446,0.6476082698539075
0.9,2023-07-01,0.4789660822321955,0.627849500970242
0.9,2023-08-01,0.41237162708978353,0.6271844944071803
0.9,2023-09-01,0.506115492738718,0.6413280782604993
0.9,2023-10-01,0.5397300894141998,0.6470999978677209
0.9,2023-11-01,0.5032155576105255,0.6441087869441924
0.9,2023-12-01,0.4469442701161324,0.6374181219274717
0.9,2024-01-01,0.38080009174176577,0.6070160251847557
0.9,2024-02-01,0.3822489754094764,0.5921189520776955
0.9,2024-03-01,0.4312529229522383,0.5818573429896584
0.9,2024-04-01,0.39635543287743497,0.5890111237982341
0.9,2024-05-01,0.3885700562563546,0.6007990397976629
0.9,2024-06-01,0.5342601290510456,0.6294275944295737
0.9,2024-07-01,0.6704343501713246,0.6598927048182734
0.9,2024-08-01,0.7243699296190652,0.6827511688428602
0.9,2024-09-01,0.7708223232584113,0.7183387401554212
0.9,2024-10-01,0.7596123866575711,0.7171591039972671
0.9,2024-11-01,0.7362617022344552,0.6937045911975521
0.9,2024-12-01,0.7362617022344552,0.6937045911975521
