,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Абазинский муниципальный район,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Абанский муниципальный район,2,2,2,2,2,2,2,2,2,2,6,6,11,11,11,11,11,11,11,11,11,11,11,11
Абатский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11
Абзелиловский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11
Агинский муниципальный район,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Агрызский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11
Адамовский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11
Азнакаевский муниципальный район,0,0,0,0,0,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11
Азовский немецкий национальный муниципальный район,0,0,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11
Акбулакский муниципальный район,2,2,2,2,2,2,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11,11
Аксубаевский муниципальный район,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11
Актанышский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11
Алагирский муниципальный район,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Аларский муниципальный район,0,0,0,2,2,2,2,0,0,0,0,0,0,11,11,11,11,11,11,11,11,10,10,10
Алданский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Александро-Невский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11
Александрово-Гайский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11
Александровский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11,11,11
Аликовский муниципальный округ,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11
Алькеевский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11
Альменевский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,11,11,11,11,11,11,11,11,11
Альметьевский муниципальный район,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Альшеевский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11
Амгинский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Амурский муниципальный район,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Анадырский муниципальный район,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Андроповский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11,11,11
Антроповский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11
Анучинский муниципальный округ,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,11,11,11,11,11,11,11,11,11
Апанасенковский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11,11
Апастовский муниципальный район,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11
Аргаяшский муниципальный район,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,11,11,11,11,11,11,11,11,11
Ардатовский муниципальный округ,2,2,2,2,2,2,2,2,2,2,6,6,11,11,11,11,11,11,11,11,11,11,11,11
Ардатовский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,6,6,6,6,11,11,11,11,11,11,11,11,11
Ардонский муниципальный район,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Арзгирский муниципальный округ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11
Аркадакский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,6,6,11,11,11,11,11,11,11,11,11,11,11
Армизонский муниципальный район,2,2,2,2,2,2,2,2,2,2,2,2,2,11,11,11,11,11,11,11,11,11,11,11
