target,scope,month,cluster_id,n,variance_norm,radius,center_density,min_center_distance
static_louvain_alpha70,static,2024-12-01,0,17,0.1440979526016943,0.09952255205368102,0,0.14727073283612171
static_louvain_alpha70,static,2024-12-01,1,342,0.10666810898053297,0.09952255205368102,0,0.11683877319156624
static_louvain_alpha70,static,2024-12-01,2,208,0.10525876009554791,0.09952255205368102,0,0.1250271706190292
static_louvain_alpha70,static,2024-12-01,3,147,0.18691502216384173,0.09952255205368102,0,0.1841162029883113
static_louvain_alpha70,static,2024-12-01,4,316,0.043977932634112704,0.09952255205368102,1,0.08951460698823124
static_louvain_alpha70,static,2024-12-01,5,60,0.025111231921996914,0.09952255205368102,9,0.034522602719303894
static_louvain_alpha70,static,2024-12-01,6,299,0.10764280374036392,0.09952255205368102,0,0.11852363149232861
static_louvain_alpha70,static,2024-12-01,7,219,0.02901927457258118,0.09952255205368102,12,0.051452380264542054
static_louvain_alpha70,static,2024-12-01,8,296,0.05359272103881779,0.09952255205368102,0,0.1041165262816009
static_leiden_alpha70,static,2024-12-01,0,496,0.10484848396105491,0.10496066430161612,0,0.10958937393583121
static_leiden_alpha70,static,2024-12-01,1,434,0.08421707774584164,0.10496066430161612,0,0.11463124219323939
static_leiden_alpha70,static,2024-12-01,2,320,0.06495513580964558,0.10496066430161612,5,0.09180081912424348
static_leiden_alpha70,static,2024-12-01,3,216,0.027070181849137107,0.10496066430161612,12,0.050359092167091814
static_leiden_alpha70,static,2024-12-01,4,171,0.07326267720418247,0.10496066430161612,1,0.08422913603441998
static_leiden_alpha70,static,2024-12-01,5,111,0.07757448700254521,0.10496066430161612,0,0.14431074319311096
static_leiden_alpha70,static,2024-12-01,6,95,0.24790211898690967,0.10496066430161612,0,0.24152508681156096
static_leiden_alpha70,static,2024-12-01,7,61,0.025241264681422754,0.10496066430161612,9,0.037157828876480614
temporal_louvain_alpha70,temporal,2023-01-01,0,420,0.08271643342498951,0.12169277344493706,2,0.1117406621757115
temporal_louvain_alpha70,temporal,2023-01-01,1,185,0.36776367519972036,0.12169277344493706,0,0.21093850833305877
temporal_louvain_alpha70,temporal,2023-01-01,2,725,0.12244660117099483,0.12169277344493706,3,0.07909745018480205
temporal_louvain_alpha70,temporal,2023-01-01,3,112,0.04363327572509487,0.12169277344493706,18,0.05263727835060599
temporal_louvain_alpha70,temporal,2023-01-01,6,146,0.08413899365837182,0.12169277344493706,1,0.08476919352323704
temporal_louvain_alpha70,temporal,2023-01-01,7,12,0.1633848412431492,0.12169277344493706,0,0.1717120357930157
temporal_louvain_alpha70,temporal,2023-01-01,8,133,0.043500653838983265,0.12169277344493706,2,0.08807524533781332
temporal_louvain_alpha70,temporal,2023-01-01,9,171,0.04019991669682599,0.12169277344493706,14,0.08746676196042436
temporal_leiden_alpha70,temporal,2023-01-01,0,1215,0.1833641720251828,0.15303888625758663,7,0.07843910724625751
temporal_leiden_alpha70,temporal,2023-01-01,3,298,0.10463728554535022,0.15303888625758663,8,0.11066034236965813
temporal_leiden_alpha70,temporal,2023-01-01,4,146,0.3616214631737223,0.15303888625758663,0,0.2244190143795899
temporal_leiden_alpha70,temporal,2023-01-01,6,1,0.0,0.15303888625758663,1,0.0
temporal_leiden_alpha70,temporal,2023-01-01,8,230,0.05207907838428208,0.15303888625758663,47,0.0577615261105847
temporal_leiden_alpha70,temporal,2023-01-01,9,14,0.14145042632211394,0.15303888625758663,0,0.21387702777335063
temporal_louvain_alpha70,temporal,2023-02-01,0,420,0.08183917710708766,0.12241328485456833,6,0.09915909328444523
temporal_louvain_alpha70,temporal,2023-02-01,1,185,0.3703041055086671,0.12241328485456833,0,0.20610716632893403
temporal_louvain_alpha70,temporal,2023-02-01,2,725,0.11750042149844382,0.12241328485456833,2,0.1007840766685248
temporal_louvain_alpha70,temporal,2023-02-01,3,112,0.05321686759067114,0.12241328485456833,13,0.06258656643225033
temporal_louvain_alpha70,temporal,2023-02-01,6,146,0.08628226072206166,0.12241328485456833,0,0.1373075968285162
temporal_louvain_alpha70,temporal,2023-02-01,7,12,0.15934875518542105,0.12241328485456833,0,0.14720259790393983
temporal_louvain_alpha70,temporal,2023-02-01,8,133,0.047060969484094155,0.12241328485456833,4,0.09998806963198172
temporal_louvain_alpha70,temporal,2023-02-01,9,171,0.043488230672237456,0.12241328485456833,8,0.0626777662850981
temporal_leiden_alpha70,temporal,2023-02-01,0,1215,0.17977140163887345,0.15507045688035573,11,0.10106482284080252
temporal_leiden_alpha70,temporal,2023-02-01,3,297,0.10987370584352911,0.15507045688035573,7,0.09536700198020683
temporal_leiden_alpha70,temporal,2023-02-01,4,147,0.3747363637903156,0.15507045688035573,0,0.25683067195075343
temporal_leiden_alpha70,temporal,2023-02-01,6,1,0.0,0.15507045688035573,1,0.0
temporal_leiden_alpha70,temporal,2023-02-01,8,230,0.06071342874230379,0.15507045688035573,42,0.0473681890174259
temporal_leiden_alpha70,temporal,2023-02-01,9,14,0.14059157747993942,0.15507045688035573,0,0.22299230326251201
temporal_louvain_alpha70,temporal,2023-03-01,0,375,0.07993214483678973,0.12127975250474594,3,0.11168542159470757
temporal_louvain_alpha70,temporal,2023-03-01,1,191,0.35531529763918307,0.12127975250474594,0,0.21139352475572729
temporal_louvain_alpha70,temporal,2023-03-01,2,750,0.11754376110130352,0.12127975250474594,2,0.10020367647481107
temporal_louvain_alpha70,temporal,2023-03-01,3,111,0.05106019020028911,0.12127975250474594,10,0.033450113098764
temporal_louvain_alpha70,temporal,2023-03-01,6,150,0.0872198365361219,0.12127975250474594,0,0.1304094474815117
temporal_louvain_alpha70,temporal,2023-03-01,7,15,0.16213065137742572,0.12127975250474594,1,0.08788438212360292
temporal_louvain_alpha70,temporal,2023-03-01,8,141,0.042708906530108955,0.12127975250474594,3,0.08401609355932181
temporal_louvain_alpha70,temporal,2023-03-01,9,171,0.045451027305973446,0.12127975250474594,8,0.07839019950409899
temporal_leiden_alpha70,temporal,2023-03-01,0,1208,0.17676504528184028,0.15437290664870792,3,0.12769870029180794
temporal_leiden_alpha70,temporal,2023-03-01,3,303,0.10239668921431531,0.15437290664870792,5,0.10118556170806166
temporal_leiden_alpha70,temporal,2023-03-01,4,149,0.3679594395352158,0.15437290664870792,0,0.2704807261556914
temporal_leiden_alpha70,temporal,2023-03-01,6,1,0.0,0.15437290664870792,1,0.0
temporal_leiden_alpha70,temporal,2023-03-01,8,230,0.05915893743429038,0.15437290664870792,41,0.06422576363036758
temporal_leiden_alpha70,temporal,2023-03-01,9,13,0.15163568359248322,0.15437290664870792,0,0.20851624589770862
temporal_louvain_alpha70,temporal,2023-04-01,0,324,0.07520425709795564,0.11569745321954411,1,0.11501562148187176
temporal_louvain_alpha70,temporal,2023-04-01,1,194,0.3477320182563827,0.11569745321954411,0,0.14287374482461587
temporal_louvain_alpha70,temporal,2023-04-01,2,785,0.13734207760795988,0.11569745321954411,0,0.14585649193623673
temporal_louvain_alpha70,temporal,2023-04-01,3,111,0.04128673320475866,0.11569745321954411,14,0.035985997902051765
temporal_louvain_alpha70,temporal,2023-04-01,6,152,0.08472474149311299,0.11569745321954411,0,0.14912153471718959
temporal_louvain_alpha70,temporal,2023-04-01,7,16,0.0976579687112331,0.11569745321954411,0,0.14066772421848764
temporal_louvain_alpha70,temporal,2023-04-01,8,155,0.03988572178590672,0.11569745321954411,6,0.07104707091365271
temporal_louvain_alpha70,temporal,2023-04-01,9,167,0.03286412545796055,0.11569745321954411,14,0.06023096440864563
temporal_leiden_alpha70,temporal,2023-04-01,0,1176,0.19293020701557162,0.148463344365195,4,0.10697007034016318
temporal_leiden_alpha70,temporal,2023-04-01,3,330,0.10278790430393303,0.148463344365195,9,0.09912416311118809
temporal_leiden_alpha70,temporal,2023-04-01,4,154,0.3632341581990626,0.148463344365195,0,0.23156493587232457
temporal_leiden_alpha70,temporal,2023-04-01,6,1,0.0,0.148463344365195,1,0.0
temporal_leiden_alpha70,temporal,2023-04-01,8,228,0.04797826243420191,0.148463344365195,51,0.06252032033328128
temporal_leiden_alpha70,temporal,2023-04-01,9,15,0.08655859437077622,0.148463344365195,0,0.16464331045856662
temporal_louvain_alpha70,temporal,2023-05-01,0,286,0.07379081203406417,0.11641025238981789,1,0.10383302390082305
temporal_louvain_alpha70,temporal,2023-05-01,1,197,0.3364858069245595,0.11641025238981789,0,0.17678854380524922
temporal_louvain_alpha70,temporal,2023-05-01,2,805,0.14165733474431497,0.11641025238981789,0,0.12028678699651349
temporal_louvain_alpha70,temporal,2023-05-01,3,114,0.03723471567584868,0.11641025238981789,16,0.0355392507091145
temporal_louvain_alpha70,temporal,2023-05-01,6,158,0.08762420949653289,0.11641025238981789,0,0.1468606559491747
temporal_louvain_alpha70,temporal,2023-05-01,7,16,0.12119921938045206,0.11641025238981789,0,0.15263787130116663
temporal_louvain_alpha70,temporal,2023-05-01,8,160,0.03805302612457035,0.11641025238981789,5,0.07367980940663292
temporal_louvain_alpha70,temporal,2023-05-01,9,168,0.03124107475316796,0.11641025238981789,17,0.04485442983830984
temporal_leiden_alpha70,temporal,2023-05-01,0,1180,0.19707586158436935,0.1272484082893491,3,0.10531143326712321
temporal_leiden_alpha70,temporal,2023-05-01,3,329,0.10400472012538613,0.1272484082893491,5,0.08584576143169544
temporal_leiden_alpha70,temporal,2023-05-01,4,151,0.34278313268602856,0.1272484082893491,0,0.22350144294316637
temporal_leiden_alpha70,temporal,2023-05-01,6,1,0.0,0.1272484082893491,1,0.0
temporal_leiden_alpha70,temporal,2023-05-01,8,228,0.04313146850553254,0.1272484082893491,43,0.04079121564424272
temporal_leiden_alpha70,temporal,2023-05-01,9,14,0.10642053029515507,0.1272484082893491,0,0.19058931498071596
temporal_leiden_alpha70,temporal,2023-05-01,10,1,0.0,0.1272484082893491,1,0.0
temporal_louvain_alpha70,temporal,2023-06-01,0,268,0.07133574087382989,0.10273245712603214,0,0.1209965310755634
temporal_louvain_alpha70,temporal,2023-06-01,1,213,0.3382164720433188,0.10273245712603214,0,0.13784037749728706
temporal_louvain_alpha70,temporal,2023-06-01,2,781,0.1344686344171401,0.10273245712603214,2,0.09665387194046457
temporal_louvain_alpha70,temporal,2023-06-01,3,115,0.03911305509386555,0.10273245712603214,13,0.03620433766855757
temporal_louvain_alpha70,temporal,2023-06-01,4,1,0.0,0.10273245712603214,1,0.0
temporal_louvain_alpha70,temporal,2023-06-01,6,187,0.09468702372001636,0.10273245712603214,0,0.1072868339169681
temporal_louvain_alpha70,temporal,2023-06-01,7,15,0.10586723515539855,0.10273245712603214,0,0.16128154258079908
temporal_louvain_alpha70,temporal,2023-06-01,8,158,0.041618522562306234,0.10273245712603214,0,0.10804082744508041
temporal_louvain_alpha70,temporal,2023-06-01,9,166,0.029563893653439262,0.10273245712603214,11,0.05421801278660589
temporal_leiden_alpha70,temporal,2023-06-01,0,1149,0.18134390710176507,0.11648409310705453,1,0.11554836807072748
temporal_leiden_alpha70,temporal,2023-06-01,3,300,0.10343806643216197,0.11648409310705453,3,0.08465347510424734
temporal_leiden_alpha70,temporal,2023-06-01,4,158,0.39774084091842915,0.11648409310705453,0,0.26097056005145336
temporal_leiden_alpha70,temporal,2023-06-01,6,51,0.04615473867042213,0.11648409310705453,2,0.10747893717115652
temporal_leiden_alpha70,temporal,2023-06-01,8,230,0.04533119213639853,0.11648409310705453,37,0.047239715524254
temporal_leiden_alpha70,temporal,2023-06-01,9,14,0.09437806734709195,0.11648409310705453,0,0.18821551715395138
temporal_leiden_alpha70,temporal,2023-06-01,10,1,0.0,0.11648409310705453,1,0.0
temporal_leiden_alpha70,temporal,2023-06-01,11,1,0.0,0.11648409310705453,1,0.0
temporal_louvain_alpha70,temporal,2023-07-01,0,268,0.06667145109057979,0.10375681109308749,0,0.11641666613549606
temporal_louvain_alpha70,temporal,2023-07-01,1,219,0.37072720182107316,0.10375681109308749,0,0.13297770279338522
temporal_louvain_alpha70,temporal,2023-07-01,2,719,0.12581680674300766,0.10375681109308749,0,0.1544691212575587
temporal_louvain_alpha70,temporal,2023-07-01,3,115,0.04244930946251271,0.10375681109308749,10,0.02892796411323618
temporal_louvain_alpha70,temporal,2023-07-01,4,1,0.0,0.10375681109308749,1,0.0
temporal_louvain_alpha70,temporal,2023-07-01,6,247,0.09584837773243093,0.10375681109308749,0,0.13940773708053472
temporal_louvain_alpha70,temporal,2023-07-01,7,15,0.10278489815638196,0.10375681109308749,0,0.28930076882333977
temporal_louvain_alpha70,temporal,2023-07-01,8,156,0.04032566812333917,0.10375681109308749,1,0.07740372711289646
temporal_louvain_alpha70,temporal,2023-07-01,9,164,0.02737983057541276,0.10375681109308749,13,0.05841774786434038
temporal_leiden_alpha70,temporal,2023-07-01,0,1121,0.16703871547388566,0.11642726921695984,1,0.10690751611347349
temporal_leiden_alpha70,temporal,2023-07-01,3,269,0.07183985979741085,0.11642726921695984,5,0.08798381763832944
temporal_leiden_alpha70,temporal,2023-07-01,4,200,0.4385252791968487,0.11642726921695984,0,0.1545333367135766
temporal_leiden_alpha70,temporal,2023-07-01,6,68,0.05859622653506474,0.11642726921695984,1,0.03627217092738014
temporal_leiden_alpha70,temporal,2023-07-01,8,230,0.047329799115999424,0.11642726921695984,36,0.05038624704592377
temporal_leiden_alpha70,temporal,2023-07-01,9,14,0.08420989698917115,0.11642726921695984,0,0.30200321074691305
temporal_leiden_alpha70,temporal,2023-07-01,10,1,0.0,0.11642726921695984,1,0.0
temporal_leiden_alpha70,temporal,2023-07-01,11,1,0.0,0.11642726921695984,1,0.0
temporal_louvain_alpha70,temporal,2023-08-01,0,300,0.07013084164943861,0.09388607152835585,0,0.10298242718523518
temporal_louvain_alpha70,temporal,2023-08-01,1,215,0.360755095748377,0.09388607152835585,0,0.15190524898378882
temporal_louvain_alpha70,temporal,2023-08-01,2,623,0.11479205909753362,0.09388607152835585,0,0.10961665200244775
temporal_louvain_alpha70,temporal,2023-08-01,3,114,0.04265622540187622,0.09388607152835585,8,0.03160521097827031
temporal_louvain_alpha70,temporal,2023-08-01,4,1,0.0,0.09388607152835585,1,0.0
temporal_louvain_alpha70,temporal,2023-08-01,5,1,0.0,0.09388607152835585,1,0.0
temporal_louvain_alpha70,temporal,2023-08-01,6,312,0.10388394605235567,0.09388607152835585,0,0.11380903965495566
temporal_louvain_alpha70,temporal,2023-08-01,7,17,0.12162616488046255,0.09388607152835585,0,0.23132486961956156
temporal_louvain_alpha70,temporal,2023-08-01,8,155,0.040261298393254874,0.09388607152835585,1,0.09075457716571075
temporal_louvain_alpha70,temporal,2023-08-01,9,166,0.027353811479456775,0.09388607152835585,7,0.05369120302200379
temporal_leiden_alpha70,temporal,2023-08-01,0,1048,0.15047172239252465,0.08885151182197312,1,0.08519139368054165
temporal_leiden_alpha70,temporal,2023-08-01,1,1,0.0,0.08885151182197312,1,0.0
temporal_leiden_alpha70,temporal,2023-08-01,3,250,0.0661747241884983,0.08885151182197312,4,0.062245707438328995
temporal_leiden_alpha70,temporal,2023-08-01,4,206,0.4091232313873388,0.08885151182197312,0,0.14607896090728217
temporal_leiden_alpha70,temporal,2023-08-01,5,39,0.02370994651044218,0.08885151182197312,5,0.03152817138808251
temporal_leiden_alpha70,temporal,2023-08-01,6,154,0.05887565985656471,0.08885151182197312,2,0.04079817209030123
temporal_leiden_alpha70,temporal,2023-08-01,8,190,0.021862339993325174,0.08885151182197312,20,0.04350883832962446
temporal_leiden_alpha70,temporal,2023-08-01,9,14,0.05924149097632926,0.08885151182197312,0,0.17905016558800035
temporal_leiden_alpha70,temporal,2023-08-01,10,1,0.0,0.08885151182197312,1,0.0
temporal_leiden_alpha70,temporal,2023-08-01,11,1,0.0,0.08885151182197312,1,0.0
temporal_louvain_alpha70,temporal,2023-09-01,0,326,0.07576925368989748,0.09722514216880894,0,0.11912490062899114
temporal_louvain_alpha70,temporal,2023-09-01,1,208,0.3438055720737973,0.09722514216880894,0,0.14977256751626034
temporal_louvain_alpha70,temporal,2023-09-01,2,550,0.10642512209081723,0.09722514216880894,0,0.12751055291149338
temporal_louvain_alpha70,temporal,2023-09-01,3,113,0.044786934431336904,0.09722514216880894,7,0.029100789923050072
temporal_louvain_alpha70,temporal,2023-09-01,4,2,0.04698099168288529,0.09722514216880894,0,0.2555868844161645
