target,scope,month,cluster_i,cluster_j,density_i,density_j,midpoint_density,denominator,zero_over_zero,positive_over_zero,ratio
static_louvain_alpha70,static,2024-12-01,0,1,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,0,2,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,0,3,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,0,4,0,1,0,1,False,False,0.0
static_louvain_alpha70,static,2024-12-01,0,5,0,9,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,0,6,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,0,7,0,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,0,8,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,1,2,0,0,1,0,False,True,
static_louvain_alpha70,static,2024-12-01,1,3,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,1,4,0,1,0,1,False,False,0.0
static_louvain_alpha70,static,2024-12-01,1,5,0,9,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,1,6,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,1,7,0,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,1,8,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,2,3,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,2,4,0,1,1,1,False,False,1.0
static_louvain_alpha70,static,2024-12-01,2,5,0,9,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,2,6,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,2,7,0,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,2,8,0,0,1,0,False,True,
static_louvain_alpha70,static,2024-12-01,3,4,0,1,0,1,False,False,0.0
static_louvain_alpha70,static,2024-12-01,3,5,0,9,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,3,6,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,3,7,0,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,3,8,0,0,0,0,True,False,
static_louvain_alpha70,static,2024-12-01,4,5,1,9,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,4,6,1,0,0,1,False,False,0.0
static_louvain_alpha70,static,2024-12-01,4,7,1,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,4,8,1,0,0,1,False,False,0.0
static_louvain_alpha70,static,2024-12-01,5,6,9,0,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,5,7,9,12,12,12,False,False,1.0
static_louvain_alpha70,static,2024-12-01,5,8,9,0,0,9,False,False,0.0
static_louvain_alpha70,static,2024-12-01,6,7,0,12,0,12,False,False,0.0
static_louvain_alpha70,static,2024-12-01,6,8,0,0,2,0,False,True,
static_louvain_alpha70,static,2024-12-01,7,8,12,0,0,12,False,False,0.0
static_leiden_alpha70,static,2024-12-01,0,1,0,0,2,0,False,True,
static_leiden_alpha70,static,2024-12-01,0,2,0,5,0,5,False,False,0.0
static_leiden_alpha70,static,2024-12-01,0,3,0,12,0,12,False,False,0.0
static_leiden_alpha70,static,2024-12-01,0,4,0,1,1,1,False,False,1.0
static_leiden_alpha70,static,2024-12-01,0,5,0,0,0,0,True,False,
static_leiden_alpha70,static,2024-12-01,0,6,0,0,0,0,True,False,
static_leiden_alpha70,static,2024-12-01,0,7,0,9,0,9,False,False,0.0
static_leiden_alpha70,static,2024-12-01,1,2,0,5,3,5,False,False,0.6
