target,scope,month,variant,K,radius,scatter,density_between,S_Dbw,status,zero_density_clusters,zero_over_zero_pairs,positive_over_zero_pairs
static_louvain_alpha70,static,2024-12-01,round14_strict,9,0.09952255205368102,0.18455104540693923,,,undefined,6,12,3
static_louvain_alpha70,static,2024-12-01,round14_zero_zero,9,0.09952255205368102,0.18455104540693923,,,undefined,6,12,3
static_louvain_alpha70,static,2024-12-01,round14_floor_one,9,0.09952255205368102,0.18455104540693923,0.16666666666666666,0.35121771207360586,finite,6,12,3
static_louvain_alpha70,static,2024-12-01,rms_radius_strict,9,0.298567656161043,0.18455104540693923,0.22546741123203987,0.41001845663897907,finite,0,0,0
static_louvain_alpha70,static,2024-12-01,rms_radius_floor_one,9,0.298567656161043,0.18455104540693923,0.22546741123203987,0.41001845663897907,finite,0,0,0
static_louvain_alpha70,static,2024-12-01,printed_outside_indicator,9,0.09952255205368102,0.18455104540693923,1.5071361248200603,1.6916871702269995,finite,0,0,0
static_leiden_alpha70,static,2024-12-01,round14_strict,8,0.10496066430161612,0.18246270982017643,,,undefined,4,5,1
static_leiden_alpha70,static,2024-12-01,round14_zero_zero,8,0.10496066430161612,0.18246270982017643,,,undefined,4,5,1
static_leiden_alpha70,static,2024-12-01,round14_floor_one,8,0.10496066430161612,0.18246270982017643,0.3083333333333333,0.4907960431535097,finite,4,5,1
static_leiden_alpha70,static,2024-12-01,rms_radius_strict,8,0.29687358994207014,0.18246270982017643,0.29753974594293636,0.4800024557631128,finite,0,0,0
static_leiden_alpha70,static,2024-12-01,rms_radius_floor_one,8,0.29687358994207014,0.18246270982017643,0.29753974594293636,0.4800024557631128,finite,0,0,0
static_leiden_alpha70,static,2024-12-01,printed_outside_indicator,8,0.10496066430161612,0.18246270982017643,1.4688371469092694,1.651299856729446,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-01-01,round14_strict,8,0.12169277344493706,0.2519045272189378,,,undefined,2,1,0
temporal_louvain_alpha70,temporal,2023-01-01,round14_zero_zero,8,0.12169277344493706,0.2519045272189378,0.14540816326530612,0.3973126904842439,finite,2,1,0
temporal_louvain_alpha70,temporal,2023-01-01,round14_floor_one,8,0.12169277344493706,0.2519045272189378,0.14540816326530612,0.3973126904842439,finite,2,1,0
temporal_louvain_alpha70,temporal,2023-01-01,rms_radius_strict,8,0.3441991412972528,0.2519045272189378,0.26255075484792806,0.5144552820668659,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-01-01,rms_radius_floor_one,8,0.3441991412972528,0.2519045272189378,0.26255075484792806,0.5144552820668659,finite,0,0,0
temporal_louvain_alpha70,temporal,2023-01-01,printed_outside_indicator,8,0.12169277344493706,0.2519045272189378,1.4427021802061706,1.6946067074251083,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-01-01,round14_strict,6,0.15303888625758663,0.29879357250852484,,,undefined,2,1,0
temporal_leiden_alpha70,temporal,2023-01-01,round14_zero_zero,6,0.15303888625758663,0.29879357250852484,0.18447315096251268,0.4832667234710375,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-01-01,round14_floor_one,6,0.15303888625758663,0.29879357250852484,0.18447315096251268,0.4832667234710375,finite,2,1,0
temporal_leiden_alpha70,temporal,2023-01-01,rms_radius_strict,6,0.3748671821349199,0.29879357250852484,0.35571343043987425,0.654507002948399,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-01-01,rms_radius_floor_one,6,0.3748671821349199,0.29879357250852484,0.35571343043987425,0.654507002948399,finite,0,0,0
temporal_leiden_alpha70,temporal,2023-01-01,printed_outside_indicator,6,0.15303888625758663,0.29879357250852484,1.25615378354209,1.5549473560506148,finite,1,0,0
temporal_louvain_alpha70,temporal,2023-02-01,round14_strict,8,0.12241328485456833,0.25177806171000794,,,undefined,3,3,0
temporal_louvain_alpha70,temporal,2023-02-01,round14_zero_zero,8,0.12241328485456833,0.25177806171000794,0.10473901098901098,0.3565170726990189,finite,3,3,0
temporal_louvain_alpha70,temporal,2023-02-01,round14_floor_one,8,0.12241328485456833,0.25177806171000794,0.10473901098901098,0.3565170726990189,finite,3,3,0
temporal_louvain_alpha70,temporal,2023-02-01,rms_radius_strict,8,0.34623705531194304,0.25177806171000794,0.2490434575631945,0.5008215192732024,finite,0,0,0
