seed,ARI_all_supra,NMI_all_supra,ARI_Dec2024,NMI_Dec2024,K_supra,K_Dec2024,mean_switches,median_switches,share_zero_switches,share_le2_switches,mean_adjacent_ARI,mean_adjacent_NMI
0,0.5688699266484374,0.6752610910334176,0.7047769940063069,0.7921104565231675,12,9,1.584033613445378,1.0,0.15913865546218486,0.7993697478991597,0.8618571888287978,0.878845737632479
1,0.5279288367544793,0.5928302001963187,0.7778993506618662,0.7241157747816637,13,8,2.3718487394957983,2.0,0.0,0.7547268907563025,0.8417886977313769,0.8438816672263298
2,0.47249777720639735,0.6177016206418511,0.4446128215330966,0.650164492206792,13,11,1.414390756302521,1.0,0.17384453781512604,0.8282563025210085,0.8755010071579051,0.8835276496283437
3,0.46283013257116057,0.5815870564226249,0.6723129000646803,0.6781351627354104,12,8,2.5409663865546217,2.0,0.004201680672268907,0.6113445378151261,0.8372840578124198,0.8457859705007066
4,0.2996489198270645,0.4914327452291461,0.67786827634039,0.6758142913608383,15,9,3.340861344537815,3.0,0.0,0.026260504201680673,0.733461127579164,0.7599171407552474
5,0.530214666672176,0.5937606067407588,0.8271540675576458,0.7782616644531869,15,9,2.4096638655462184,2.0,0.0005252100840336134,0.7011554621848739,0.8395589472963547,0.845801515283389
6,0.5766352395524658,0.639549179402659,0.8474367722210399,0.7860843658039304,10,8,1.3581932773109244,1.0,0.15808823529411764,0.8881302521008403,0.8830089773168676,0.8865657913572199
7,0.4728571288034984,0.6367755938767998,0.7720521190389014,0.7756241669987575,12,9,1.762079831932773,2.0,0.20220588235294118,0.7211134453781513,0.8403401010521473,0.8729343180898548
8,0.4728900334050765,0.6279953044433164,0.6270827496836099,0.7161506088287314,10,9,1.5535714285714286,2.0,0.20063025210084034,0.8440126050420168,0.8608730602110564,0.8787681124679783
9,0.6026862087942435,0.6803262401586309,0.848392483085165,0.8208601764059659,12,8,1.584033613445378,2.0,0.2027310924369748,0.8560924369747899,0.8612389733619914,0.8816017627899752
10,0.5097345000759614,0.60204481754668,0.7837939143542038,0.7848901050491044,14,11,2.249474789915966,2.0,0.008403361344537815,0.6822478991596639,0.8366406058649649,0.850749067254288
11,0.5196349599590475,0.5905129919840943,0.6904824177041757,0.7119668459334351,14,11,1.789390756302521,2.0,0.007352941176470588,0.8277310924369747,0.8648316380566363,0.8627980748934497
12,0.4195297185504736,0.526375837469669,0.594358260211063,0.5889120085849879,13,9,2.8592436974789917,2.0,0.0021008403361344537,0.5336134453781513,0.8032243406774411,0.8024897699653136
13,0.5278045815054652,0.6492746832332784,0.758017011830043,0.7299714716323042,10,8,1.4915966386554622,2.0,0.2599789915966387,0.8602941176470589,0.8549317876065728,0.8798681526337948
14,0.6068374988415791,0.64394297744072,0.7908241367552135,0.731609197219563,13,10,1.4464285714285714,1.0,0.08455882352941177,0.8807773109243697,0.87693324415482,0.880885434379762
15,0.5050934573544422,0.659901224903559,0.890180122100349,0.8484470995528867,12,9,1.521533613445378,2.0,0.25,0.8629201680672269,0.8599267914445337,0.884410788563495
16,0.641304987391102,0.661957383441797,0.6927876544641225,0.6929453520771891,12,10,1.3644957983193278,1.0,0.06932773109243698,0.8928571428571429,0.8813719790601833,0.8823464006075601
17,0.4819367236024447,0.6282345782135419,0.8397549908713275,0.8017432901507823,12,9,1.6869747899159664,2.0,0.148109243697479,0.819327731092437,0.8567321331288278,0.8795102291623004
18,0.4963078259337435,0.6231791330922372,0.7308863445729172,0.7561880920123076,14,11,1.7195378151260505,2.0,0.11081932773109243,0.8503151260504201,0.8610031445587522,0.8788145842566216
19,0.49191636115403753,0.6234069628177372,0.6819440339248058,0.686284710017181,13,10,2.3781512605042017,2.0,0.0031512605042016808,0.7195378151260504,0.8195496761765438,0.8389760032447855
20,0.4789048122606597,0.6142571328139158,0.5004427173240523,0.6896583589207895,14,11,1.5021008403361344,1.0,0.15073529411764705,0.8413865546218487,0.8694924130188465,0.8851361299957444
21,0.4888483040885407,0.6497770924381531,0.8073989026929568,0.8463935073431181,12,10,1.6197478991596639,2.0,0.20063025210084034,0.8613445378151261,0.8587591952937743,0.8820234082107238
22,0.40242208299831095,0.5675414382198399,0.6260069144815078,0.5994412281632118,13,10,2.2668067226890756,2.0,0.0031512605042016808,0.7815126050420168,0.8198812792548208,0.8374324572693361
23,0.5417656059099341,0.5946153172865248,0.8468707919008805,0.800929897966446,13,9,2.1570378151260505,2.0,0.0005252100840336134,0.845063025210084,0.8765033915765933,0.8653488869010616
24,0.5691900558406252,0.6582433893150884,0.021394148890465876,0.06795452010371164,12,10,1.721638655462185,1.0,0.007352941176470588,0.8177521008403361,0.8472706921678658,0.8574218712203756
25,0.5119767447249292,0.6663437757797998,0.7408120640438777,0.7805944794519375,12,10,1.4642857142857142,2.0,0.3072478991596639,0.8534663865546218,0.859692217210949,0.8868931468501122
26,0.5580392704204087,0.6676958574482356,0.804380659766018,0.7910058667718162,10,9,1.2641806722689075,1.0,0.2347689075630252,0.8639705882352942,0.8742214614210425,0.8933970519827794
27,0.45703824850621994,0.6101269786971582,0.4703490225230944,0.6828785401892973,12,10,1.5982142857142858,1.0,0.16228991596638656,0.8025210084033614,0.8656490955721761,0.8784745591953325
28,0.5017371276459248,0.6265719243691027,0.44408851100526153,0.6517832608741287,12,10,1.4868697478991597,1.0,0.1953781512605042,0.8098739495798319,0.8720265046418518,0.8828220867754382
29,0.6516446948106119,0.6906535551246543,0.7831701225849885,0.7866422706365424,11,9,1.271533613445378,1.0,0.18907563025210083,0.8786764705882353,0.8839477593757219,0.8899942051061799
30,0.43157389945201374,0.5974476686423786,0.6083618479601672,0.6004362542701124,13,9,2.349264705882353,2.0,0.0063025210084033615,0.7347689075630253,0.8128259520227971,0.8331422358238739
31,0.5096243996704695,0.6478656889900303,0.6698202900054884,0.7698778908241054,9,7,1.585609243697479,2.0,0.24474789915966386,0.9028361344537815,0.8491860496554048,0.8812761999850776
32,0.4551123938149192,0.49550964695335975,0.7970822638070276,0.7714673952279738,15,8,3.581932773109244,3.0,0.0010504201680672268,0.011029411764705883,0.7825626362965147,0.7784133726016023
33,0.5224770898386351,0.6580621000456736,0.4425217431827993,0.6615697231472611,13,9,1.497373949579832,1.0,0.16018907563025211,0.8209033613445378,0.8661567543408147,0.8819097637275742
34,0.4428152758385452,0.6147953669760309,0.7364143150623544,0.7394730044566744,13,10,1.780987394957983,2.0,0.0976890756302521,0.8114495798319328,0.8499087967673048,0.8708728236574699
35,0.5143192020673043,0.6477708331884356,0.7718490127595243,0.7591784614449879,14,10,1.7746848739495797,2.0,0.16176470588235295,0.8361344537815126,0.8515437007617226,0.8758049711593499
36,0.5221041667266707,0.6708882976840952,0.7113517020213741,0.7600895847890161,15,10,1.8266806722689075,2.0,0.12605042016806722,0.7773109243697479,0.8431130614636224,0.8712712328773974
37,0.505791025936325,0.6210357568172787,0.6601046157977642,0.6751161484206742,14,10,2.2153361344537816,2.0,0.007878151260504201,0.8135504201680672,0.8339406610341082,0.8477743629927974
38,0.5040674211332518,0.6403318928740018,0.7904712186380781,0.7669080107074219,11,10,1.6092436974789917,2.0,0.22058823529411764,0.7977941176470589,0.8506247195162586,0.8815687109509546
39,0.5074894242887913,0.6340888514870039,0.01624400083104674,0.04921473649592971,12,9,2.0141806722689077,2.0,0.006827731092436975,0.7967436974789915,0.817514798587906,0.8437288176530578
40,0.5137458466109291,0.6494225449434989,0.7869830062931231,0.7544781680524328,11,8,1.7279411764705883,2.0,0.19380252100840337,0.7935924369747899,0.8374109545159769,0.8691078842648635
41,0.4167704060513125,0.581594042190768,0.6582974951219251,0.6439343926636821,15,10,2.9017857142857144,3.0,0.0015756302521008404,0.3088235294117647,0.8242932433110105,0.8304454576311115
42,0.529571210709148,0.6160310677417157,0.7434751329809243,0.7400104376168408,10,8,1.245798319327731,1.0,0.19327731092436976,0.9180672268907563,0.8910301485173583,0.890881741856973
43,0.47836520384796094,0.6414319683365131,0.7287829070673103,0.748892089021821,12,9,1.5635504201680672,2.0,0.20168067226890757,0.8802521008403361,0.8546334471981034,0.8769460814481029
44,0.4640187173865108,0.6124528176853008,0.4648392141166829,0.6835726133414357,13,8,2.475840336134454,2.0,0.015756302521008403,0.5246848739495799,0.8111495897897381,0.8416950772750402
45,0.4985530557393424,0.6547401739931444,0.6346400993929397,0.6622438829806162,14,12,1.6008403361344539,2.0,0.25630252100840334,0.8266806722689075,0.857805959647911,0.8902845237942315
46,0.38013353351929374,0.5153380038074219,0.5534045823757064,0.7004862573486936,14,8,2.3114495798319328,2.0,0.0,0.7710084033613446,0.8348367395969012,0.8236144520403752
47,0.27620602128236005,0.49433993727406494,0.7513852784156747,0.7204723060305619,15,8,3.7300420168067228,4.0,0.0005252100840336134,0.015756302521008403,0.7653964040270714,0.7675138996835489
48,0.49015886862941405,0.6038659321294881,0.7277879199446362,0.6904168411959084,11,9,1.8088235294117647,2.0,0.0898109243697479,0.7710084033613446,0.8463337778318833,0.8713789137012896
49,0.6061198948495091,0.6649653384602525,0.8354636414807036,0.7892023538039961,11,9,1.2347689075630253,1.0,0.20903361344537816,0.8918067226890757,0.8930166897839291,0.8981917900993764
