,2023-01-01,2023-02-01,2023-03-01,2023-04-01,2023-05-01,2023-06-01,2023-07-01,2023-08-01,2023-09-01,2023-10-01,2023-11-01,2023-12-01,2024-01-01,2024-02-01,2024-03-01,2024-04-01,2024-05-01,2024-06-01,2024-07-01,2024-08-01,2024-09-01,2024-10-01,2024-11-01,2024-12-01
Абазинский муниципальный район,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Абанский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Абатский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Абзелиловский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,4,4,2,2,2,2,2,2,2,2,2
Агинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4
Агрызский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Адамовский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Азнакаевский муниципальный район,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
Азовский немецкий национальный муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Акбулакский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Аксубаевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Актанышский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Алагирский муниципальный район,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Аларский муниципальный район,0,0,0,0,0,0,0,0,0,6,6,6,1,1,1,1,1,1,2,2,2,2,2,2
Алданский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Александро-Невский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Александрово-Гайский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Александровский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Аликовский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Алькеевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Альменевский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Альметьевский муниципальный район,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7
Альшеевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Амгинский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Амурский муниципальный район,3,3,3,3,4,4,4,4,6,6,6,6,6,6,6,6,7,7,7,7,4,4,4,4
Анадырский муниципальный район,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Андроповский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Антроповский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Анучинский муниципальный округ,4,4,0,0,0,4,4,4,4,4,4,4,6,6,1,1,1,1,1,2,2,2,2,2
Апанасенковский муниципальный округ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Апастовский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Аргаяшский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Ардатовский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Ардатовский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Ардонский муниципальный район,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Арзгирский муниципальный округ,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Аркадакский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Армизонский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Аромашевский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Арсеньевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,2,2,2,2,2,2,2,2
Арский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Архангельский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Архаринский муниципальный округ,4,4,4,4,4,4,4,4,4,4,4,4,6,6,6,6,2,2,2,2,2,2,2,2
Асекеевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Асиновский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Аскинский муниципальный район,0,0,0,4,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
Аткарский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Атнинский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Атюрьевский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Атяшевский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Аургазинский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Ахтубинский муниципальный район,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1,1,1,2,2,2,2,2
Ашинский муниципальный район,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,2,2,2,2,2,2,2,2
Бабаевский муниципальный округ,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,1,1,2,2,2,2,2,2
Бабушкинский муниципальный округ,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Бабынинский муниципальный район,0,0,0,0,0,0,0,0,0,1,6,6,1,1,1,1,2,2,2,2,2,2,2,2
Бавлинский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Баганский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Баевский муниципальный район,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Базарно-Карабулакский муниципальный район,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
