mode,seed,archetype,n_reference,best_destination_share,within_reference_pair_coassignment,n_destinations,destination_distribution
seed,0,A,141,1.0,1.0,1,1:141
seed,0,B,98,1.0,1.0,1,3:98
seed,0,C,29,1.0,1.0,1,7:29
seed,0,D,153,1.0,1.0,1,8:153
seed,0,E,186,1.0,1.0,1,9:186
seed,0,F,327,1.0,1.0,1,10:327
seed,0,G,965,1.0,1.0,1,11:965
seed,1,A,141,0.8581560283687943,0.7463019250253293,3,4:121; 6:14; 5:6
seed,1,B,98,1.0,1.0,1,0:98
seed,1,C,29,0.6551724137931034,0.49261083743842365,3,1:19; 5:8; 9:2
seed,1,D,153,0.9803921568627451,0.9613003095975232,2,6:150; 8:3
seed,1,E,186,0.8924731182795699,0.8033129904097646,3,8:166; 0:16; 6:4
seed,1,F,327,0.9602446483180428,0.9225530477852197,4,6:314; 4:8; 5:3; 7:2
seed,1,G,965,0.8652849740932642,0.7655343667361812,4,7:835; 6:126; 5:3; 1:1
seed,2,A,141,0.8936170212765957,0.8058763931104357,3,1:126; 4:13; 7:2
seed,2,B,98,1.0,1.0,1,7:98
seed,2,C,29,0.5862068965517241,0.3817733990147783,5,3:17; 9:6; 1:3; 11:2; 4:1
seed,2,D,153,1.0,1.0,1,4:153
seed,2,E,186,1.0,1.0,1,7:186
seed,2,F,327,0.45871559633027525,0.42590195305904205,3,9:150; 4:150; 1:27
seed,2,G,965,0.9968911917098445,0.9937909831659966,3,9:962; 1:2; 5:1
seed,3,A,141,0.9787234042553191,0.9578520770010132,3,1:138; 2:2; 5:1
seed,3,B,98,0.5918367346938775,0.5118872291184515,2,4:58; 2:40
seed,3,C,29,0.6206896551724138,0.43596059113300495,4,11:18; 8:7; 1:3; 10:1
seed,3,D,153,1.0,1.0,1,5:153
seed,3,E,186,0.9946236559139785,0.989247311827957,2,2:185; 4:1
seed,3,F,327,0.7706422018348624,0.627643008573948,5,5:252; 8:60; 1:11; 2:3; 3:1
seed,3,G,965,0.9740932642487047,0.9491196009717713,4,8:940; 5:15; 3:8; 1:2
seed,4,A,141,0.9716312056737588,0.9439716312056737,4,7:137; 1:2; 10:1; 8:1
seed,4,B,98,1.0,1.0,1,4:98
seed,4,C,29,0.9655172413793104,0.9310344827586207,2,5:28; 11:1
seed,4,D,153,0.9738562091503268,0.9484864121087031,3,8:149; 1:3; 10:1
seed,4,E,186,0.9086021505376344,0.8330136588201105,2,1:169; 4:17
seed,4,F,327,0.7584097859327217,0.6028029492880058,5,10:248; 11:53; 1:12; 7:11; 8:3
seed,4,G,965,0.9906735751295337,0.981469696643949,4,11:956; 10:7; 5:1; 7:1
perturb,0,A,141,0.950354609929078,0.903951367781155,3,2:134; 6:5; 4:2
perturb,0,B,98,1.0,1.0,1,0:98
perturb,0,C,29,0.5862068965517241,0.4088669950738916,4,8:17; 2:8; 9:2; 3:2
perturb,0,D,153,0.9673202614379085,0.936016511867905,3,7:148; 4:4; 6:1
perturb,0,E,186,0.9086021505376344,0.8330136588201105,2,4:169; 0:17
perturb,0,F,327,0.6269113149847095,0.4496350912740849,5,6:205; 9:56; 7:55; 2:8; 4:3
perturb,0,G,965,0.938860103626943,0.8847118010018704,4,9:906; 6:56; 3:2; 2:1
perturb,1,A,141,0.9787234042553191,0.9578520770010132,3,12:138; 9:2; 1:1
perturb,1,B,98,1.0,1.0,1,9:98
perturb,1,C,29,0.5862068965517241,0.47044334975369456,3,11:17; 8:11; 10:1
perturb,1,D,153,1.0,1.0,1,12:153
perturb,1,E,186,0.9946236559139785,0.989247311827957,2,9:185; 12:1
perturb,1,F,327,0.5229357798165137,0.48248625729348416,4,12:171; 8:150; 7:4; 1:2
perturb,1,G,965,0.9989637305699481,0.9979274611398964,2,8:964; 5:1
perturb,2,A,141,0.624113475177305,0.4938196555217832,4,0:88; 8:46; 7:5; 1:2
perturb,2,B,98,1.0,1.0,1,6:98
perturb,2,C,29,0.896551724137931,0.8029556650246306,3,7:26; 9:2; 10:1
perturb,2,D,153,1.0,1.0,1,8:153
perturb,2,E,186,0.9086021505376344,0.8330136588201105,2,1:169; 6:17
perturb,2,F,327,0.6207951070336392,0.5100467158214668,4,10:203; 8:116; 7:5; 0:3
perturb,2,G,965,0.9782383419689119,0.9573366585685722,3,10:944; 9:20; 7:1
perturb,3,A,141,0.9645390070921985,0.9311043566362716,2,5:136; 13:5
perturb,3,B,98,1.0,1.0,1,10:98
perturb,3,C,29,0.9655172413793104,0.9310344827586207,2,13:28; 9:1
perturb,3,D,153,0.8366013071895425,0.7208462332301342,3,8:128; 2:23; 7:2
perturb,3,E,186,0.9946236559139785,0.989247311827957,2,7:185; 8:1
perturb,3,F,327,0.8960244648318043,0.8051631301476521,5,2:293; 7:11; 9:10; 5:8; 13:5
perturb,3,G,965,0.9813471502590674,0.9633156321888504,3,9:947; 2:17; 13:1
perturb,4,A,141,0.950354609929078,0.9037487335359676,3,5:134; 2:4; 7:3
perturb,4,B,98,1.0,1.0,1,8:98
perturb,4,C,29,0.6206896551724138,0.4482758620689655,4,10:18; 2:8; 1:2; 9:1
perturb,4,D,153,1.0,1.0,1,7:153
perturb,4,E,186,0.5967741935483871,0.5161290322580645,2,8:111; 7:75
perturb,4,F,327,0.4831804281345566,0.3944578900958706,4,7:158; 9:126; 5:39; 2:4
perturb,4,G,965,0.9979274611398964,0.9958570722163697,3,9:963; 2:1; 10:1
