mode,seed,K_supra,ARI_all_supra_vs_reference,NMI_all_supra_vs_reference,ARI_Dec2024_vs_reference,NMI_Dec2024_vs_reference
seed,0,12,1.0,1.0,1.0,1.0
seed,1,10,0.47627106985094025,0.6321640450771975,0.6878862566128047,0.7281826155562765
seed,2,12,0.4458823493444786,0.5821865580793821,0.7168796786901299,0.711693155727794
seed,3,12,0.5638425460481794,0.6510844887372262,0.7928292559234894,0.7572307486313161
seed,4,12,0.5527944191312923,0.6767345118890054,0.8786888565993151,0.8438779859267581
perturb,0,10,0.4616639704361159,0.6395130661682802,0.7821631099393687,0.7519999816427068
perturb,1,13,0.4056393334621507,0.5729022345058218,0.6768889397778859,0.6822003356829753
perturb,2,11,0.434313799113466,0.6128448248196744,0.6646931953203873,0.7070590750939446
perturb,3,14,0.42304847734489154,0.5997974903802246,0.9240485967075552,0.8771539106951013
perturb,4,11,0.5427707046399202,0.6242753354762649,0.7198629136205205,0.6817696269951866
