pair,cross_coassignment,seed
A/B,0.0,0
A/C,0.0,0
A/D,0.0006489593473323136,0
A/E,0.014184397163120567,0
A/F,0.006202962673780554,0
A/G,0.0,0
B/C,0.0,0
B/D,0.0,0
B/E,0.0,0
B/F,0.0,0
B/G,0.0,0
C/D,0.0,0
C/E,0.0,0
C/F,0.0,0
C/G,0.0570662855100947,0
D/E,0.0457516339869281,0
D/F,0.11508864504007515,0
D/G,0.012055945003217177,0
E/F,0.012232415902140673,0
E/G,0.0,0
F/G,0.16978973554530905,0
A/B,0.014184397163120567,1
A/C,0.26999266324284665,1
A/D,0.007277615537940945,1
A/E,0.014146267063219706,1
A/F,0.12460147049254994,1
A/G,0.00317495314739279,1
B/C,0.0,1
B/D,0.026143790849673203,1
B/E,0.9946236559139785,1
B/F,0.0,1
B/G,0.0,1
C/D,0.0,1
C/E,0.0,1
C/F,0.04682062638405568,1
C/G,0.06939431838484902,1
D/E,0.03123901890505306,1
D/F,0.6700845475805001,1
D/G,0.018165193538555318,1
E/F,0.003699319325244155,1
E/G,0.00010028413839211098,1
F/G,0.1982982364405571,1
A/B,0.0,2
A/C,0.007825874296894107,2
A/D,0.005840634125990822,2
A/E,0.004956912987112027,2
A/F,0.015008567028867634,2
A/G,0.0029397714327711023,2
B/C,0.0,2
B/D,0.0,2
B/E,0.2956989247311828,2
B/F,0.0,2
B/G,0.0,2
C/D,0.0,2
C/E,0.0,2
C/F,0.002530844669408415,2
C/G,0.028586742897981063,2
D/E,0.5765338393421885,2
D/F,0.17215326497571506,2
D/G,0.05284974093264249,2
E/F,0.005244812732235047,2
E/G,0.0016101175552955596,2
F/G,0.2931057977214749,2
A/B,0.014184397163120567,3
A/C,0.0,3
A/D,0.9598108747044918,3
A/E,0.014184397163120567,3
A/F,0.502873750189776,3
A/G,0.0,3
B/C,0.0,3
B/D,0.0196078431372549,3
B/E,1.0,3
B/F,0.0,3
B/G,0.0,3
C/D,0.0,3
C/E,0.0,3
C/F,0.16555942212380048,3
C/G,0.34447025192067177,3
D/E,0.0196078431372549,3
D/F,0.5036877136175572,3
D/G,0.0,3
E/F,0.0,3
E/G,0.0,3
F/G,0.47962478807180997,3
A/B,0.014184397163120567,4
A/C,0.031792614331132306,4
A/D,0.9311176007045844,4
A/E,0.014184397163120567,4
A/F,0.46489687032337823,4
A/G,8.08437144012053e-05,4
B/C,0.0,4
B/D,0.013071895424836602,4
B/E,1.0,4
B/F,0.0,4
B/G,0.0,4
C/D,0.0,4
C/E,0.0,4
C/F,0.027839291363492565,4
C/G,0.036233696623190995,4
D/E,0.013071895424836602,4
D/F,0.48591873038715994,4
D/G,0.0,4
E/F,0.0,4
E/G,0.0,4
F/G,0.4873001536974537,4
A/B,0.0,5
A/C,0.26999266324284665,5
A/D,0.013071895424836602,5
A/E,0.01052390757263784,5
A/F,0.015008567028867634,5
A/G,0.0010142211443060303,5
B/C,0.0,5
B/D,0.0,5
B/E,0.6236559139784946,5
B/F,0.0,5
B/G,0.0,5
C/D,0.0,5
C/E,0.0014831294030404152,5
C/F,0.00674891911842244,5
C/G,0.0329104877613007,5
D/E,0.34187223276407336,5
D/F,0.07405408646639083,5
D/G,0.004145077720207254,5
E/F,0.0012166650225247442,5
E/G,5.571341021783943e-06,5
F/G,0.1174565448178606,5
A/B,0.00636850484874801,6
A/C,0.0019564685742235266,6
A/D,0.006582301951513466,6
A/E,0.019370090749637765,6
A/F,0.11104604506907845,6
A/G,0.0010289200014698856,6
B/C,0.0,6
B/D,0.0058690142723756165,6
B/E,0.4465657230634189,6
B/F,0.009611183923110528,6
B/G,0.0,6
C/D,0.0,6
C/E,0.0,6
C/F,0.000843614889802805,6
C/G,0.06753618009648026,6
D/E,0.013036755921006395,6
D/F,0.8375007495352881,6
D/G,0.02540553354329642,6
E/F,0.021899970405445397,6
E/G,5.571341021783943e-06,6
F/G,0.034098651582133065,6
A/B,0.0,7
A/C,0.025434091464905845,7
A/D,0.02127659574468085,7
A/E,0.00022878059940517045,7
A/F,0.019259548441668294,7
A/G,0.0006981957152831367,7
B/C,0.0,7
B/D,0.0,7
B/E,0.08602150537634409,7
B/F,0.0,7
B/G,0.0,7
C/D,0.0,7
C/E,0.0,7
C/F,0.006643467257197089,7
C/G,0.03115954975879936,7
D/E,0.010752688172043012,7
D/F,0.4617737003058104,7
D/G,0.0,7
E/F,0.004965308605438821,7
E/G,0.0,7
F/G,0.07872795550696392,7
A/B,7.236937328122738e-05,8
A/C,0.0,8
A/D,0.013998980206739906,8
A/E,0.012354152367879203,8
A/F,0.01622313314681068,8
A/G,0.00020578400029397714,8
B/C,0.0,8
B/D,0.0002667733760170735,8
B/E,0.010094360324775072,8
B/F,0.0,8
B/G,0.0,8
C/D,0.0,8
C/E,0.0,8
C/F,0.01877043129811241,8
C/G,0.0587100232267286,8
D/E,0.031098460889732237,8
D/F,0.4973516419819712,8
D/G,0.014128483863320803,8
E/F,0.0027950412679622503,8
E/G,7.799877430497521e-05,8
F/G,0.4236630698293483,8
A/B,0.0,9
A/C,0.030569821472242603,9
A/D,0.00723126129884578,9
A/E,0.012887973766491269,9
A/F,0.021450105190101286,9
A/G,0.00030132657185903797,9
B/C,0.0,9
B/D,0.0,9
B/E,0.0913978494623656,9
B/F,0.0,9
B/G,0.0,9
C/D,0.0,9
C/E,0.0,9
C/F,0.006538015395971739,9
C/G,0.06721457923887797,9
D/E,0.0178157284419144,9
D/F,0.9414163218804341,9
D/G,0.0365742151782993,9
E/F,0.0,9
E/G,0.0,9
F/G,0.05347403780640459,9
A/B,0.0,10
A/C,0.0,10
A/D,0.007602095211607101,10
A/E,0.012316022267978342,10
A/F,0.01058407617064654,10
A/G,4.409657149156653e-05,10
B/C,0.0,10
B/D,0.0,10
B/E,0.0,10
B/F,0.0,10
B/G,0.0,10
C/D,0.0,10
C/E,0.0,10
C/F,0.028788358114520723,10
C/G,0.038377702340539575,10
D/E,0.019783540656405932,10
D/F,0.1319781735324099,10
D/G,0.0002235090927562735,10
E/F,0.0026141856565058694,10
E/G,1.671402306535183e-05,10
F/G,0.34127806563039725,10
A/B,0.014184397163120567,11
A/C,0.26803619466862316,11
A/D,0.00723126129884578,11
A/E,0.019217570350034317,11
A/F,0.044201531220855836,11
A/G,0.0010068717157241025,11
B/C,0.0,11
B/D,0.0196078431372549,11
B/E,0.978494623655914,11
B/F,0.0061162079510703364,11
B/G,0.0,11
C/D,0.0,11
C/E,0.0014831294030404152,11
C/F,0.03237372139618264,11
C/G,0.03469715919242451,11
D/E,0.034998945814885093,11
D/F,0.34190801702944174,11
D/G,0.0,11
E/F,0.011837821840781295,11
E/G,5.571341021783943e-06,11
F/G,0.5951387238357814,11
A/B,0.0,12
A/C,0.03301540719002201,12
A/D,0.9574468085106383,12
A/E,0.36032944406314343,12
A/F,0.41028477237729627,12
A/G,0.03542424576489178,12
B/C,0.0,12
B/D,0.0,12
B/E,0.6236559139784946,12
B/F,0.0,12
B/G,0.0,12
C/D,0.0,12
C/E,0.0,12
C/F,0.5466624485922177,12
C/G,0.9300696801858138,12
D/E,0.3763440860215054,12
D/F,0.40672782874617736,12
D/G,0.0,12
E/F,0.1530696129689915,12
E/G,0.0,12
F/G,0.586547511527309,12
A/B,0.0,13
A/C,0.02641232575201761,13
A/D,0.04964539007092199,13
A/E,0.0018683748951422252,13
A/F,0.14366582080812024,13
A/G,2.939771432771102e-05,13
B/C,0.0,13
B/D,0.0,13
B/E,0.26881720430107525,13
B/F,0.0,13
B/G,0.0,13
C/D,0.0,13
C/E,0.0,13
C/F,0.011388801012337867,13
C/G,0.0009648025728068608,13
D/E,0.03763440860215054,13
D/F,0.5015290519877675,13
D/G,0.0,13
E/F,0.018874749268356843,13
E/G,0.0,13
F/G,0.357440065915609,13
A/B,0.0,14
A/C,0.03546099290780142,14
A/D,0.01951513465906457,14
A/E,0.00526195378631892,14
A/F,0.16611360530938904,14
A/G,0.002190129717414471,14
B/C,0.0,14
B/D,0.0,14
B/E,0.6789554531490015,14
B/F,0.0,14
B/G,0.0,14
C/D,0.0,14
C/E,0.0,14
C/F,0.012232415902140673,14
C/G,0.002072538860103627,14
D/E,0.015988474242743692,14
D/F,0.6480781915212568,14
D/G,0.018436113650987164,14
E/F,0.011459669198645227,14
E/G,0.00031199509721990083,14
F/G,0.1737827003216555,14
A/B,0.0,15
A/C,0.009782342871117632,15
A/D,0.013998980206739906,15
A/E,0.0025165865934568747,15
A/F,0.01568091612987182,15
A/G,0.027486862896409805,15
B/C,0.0,15
B/D,0.0,15
B/E,0.0913978494623656,15
B/F,0.0,15
B/G,0.0,15
C/D,0.0,15
C/E,0.0,15
C/F,0.012654223347042075,15
C/G,0.33410755762015365,15
D/E,0.17510014758591608,15
D/F,0.012392316763606564,15
D/G,0.00040638016864777,15
E/F,0.0,15
E/G,0.0,15
F/G,0.06502828350049912,15
A/B,0.0,16
A/C,0.01173881144534116,16
A/D,0.07801418439716312,16
A/E,0.013841226264012811,16
A/F,0.05519769232437591,16
A/G,4.409657149156653e-05,16
B/C,0.0,16
B/D,0.0,16
B/E,0.7956989247311828,16
B/F,0.0,16
B/G,0.0,16
C/D,0.0,16
C/E,0.0,16
C/F,0.02193398713487293,16
C/G,0.034732892621046986,16
D/E,0.1774193548387097,16
D/F,0.42507645259938837,16
D/G,0.0,16
E/F,0.07541678997731084,16
E/G,0.0,16
F/G,0.5376812283120217,16
A/B,0.0,17
A/C,0.007825874296894107,17
A/D,0.09929078014184398,17
A/E,0.0005338213986120643,17
A/F,0.09438913830871667,17
A/G,0.0019108514313012164,17
B/C,0.0,17
B/D,0.0,17
B/E,0.0967741935483871,17
B/F,0.0,17
B/G,0.0,17
C/D,0.0,17
C/E,0.0,17
C/F,0.006959822840873141,17
C/G,0.06810791495443988,17
D/E,0.005376344086021506,17
D/F,0.8960244648318043,17
D/G,0.01865284974093264,17
E/F,0.004817335832429055,17
E/G,0.00010028413839211098,17
F/G,0.10356673163156978,17
A/B,0.0,18
A/C,0.009782342871117632,18
A/D,0.006953135864274788,18
A/E,0.0052238236864180585,18
A/F,0.02997375669638016,18
A/G,3.674714290963877e-05,18
B/C,0.0,18
B/D,0.0,18
B/E,0.08602150537634409,18
B/F,0.0,18
B/G,0.0,18
C/D,0.0,18
C/E,0.0,18
C/F,0.05409680480860487,18
C/G,0.10351974271931391,18
D/E,0.028146742567994938,18
D/F,0.4557174551777898,18
D/G,0.0,18
E/F,0.005146164216895202,18
E/G,0.0,18
F/G,0.49744735466083567,18
A/B,0.014184397163120567,19
A/C,0.0,19
A/D,0.9716312056737588,19
A/E,0.019331960649736902,19
A/F,0.5318715162556662,19
A/G,0.0,19
B/C,0.0,19
B/D,0.0,19
B/E,0.9946236559139785,19
B/F,0.0,19
B/G,0.0,19
C/D,0.0,19
C/E,0.0,19
C/F,0.14236001265422335,19
C/G,0.3100232267286046,19
D/E,0.005376344086021506,19
D/F,0.5474006116207951,19
D/G,0.0,19
E/F,0.002943014040972017,19
E/G,0.0,19
F/G,0.44602050355722456,19
A/B,0.0,20
A/C,0.011005135730007337,20
A/D,0.0004635423909516525,20
A/E,0.01426065736292229,20
A/F,0.04515583317066823,20
A/G,0.007907985154154265,20
B/C,0.0,20
B/D,0.0,20
B/E,0.34408602150537637,20
B/F,0.0,20
B/G,0.0,20
C/D,0.0,20
C/E,0.0,20
C/F,0.0018981335020563112,20
C/G,0.10269787386099696,20
D/E,0.017007519853819663,20
D/F,0.0185085247146769,20
D/G,0.0016458396830234684,20
E/F,0.0160961494196179,20
E/G,0.0,20
F/G,0.2333095656858551,20
A/B,0.0,21
A/C,0.008070432868672046,21
A/D,0.0070921985815602835,21
A/E,0.012163501868374895,21
A/F,0.03285835122649489,21
A/G,0.003711461433873516,21
B/C,0.0,21
B/D,0.0,21
B/E,0.0,21
B/F,0.0,21
B/G,0.0,21
C/D,0.03335587108406581,21
C/E,0.0,21
C/F,0.0024253928081830645,21
C/G,0.06517777380739682,21
D/E,0.019502424625764285,21
D/F,0.02094701285203174,21
D/G,0.000121914050594331,21
E/F,0.0001479727730097662,21
E/G,0.0,21
F/G,0.040645846207475717,21
A/B,0.0,22
A/C,0.10271460014673514,22
A/D,0.9929078014184397,22
A/E,0.37367497902844504,22
A/F,0.5708894527945865,22
A/G,0.017491640024988056,22
B/C,0.0,22
B/D,0.0,22
B/E,0.6236559139784946,22
B/F,0.0,22
B/G,0.0,22
C/D,0.10344827586206896,22
