case,municipality,rank,analog,reference_distance,combined_coassignment,qualification
stable_core,внутригородская территория города федерального значения муниципальный округ Марьина роща,1,внутригородская территория города федерального значения муниципальный округ Донской,0.035952099341158006,1.0,reference static neighbor; pair coassignment can be inflated by collapse
stable_core,внутригородская территория города федерального значения муниципальный округ Марьина роща,2,внутригородская территория города федерального значения муниципальный округ Алексеевский,0.06667107821996343,1.0,reference static neighbor; pair coassignment can be inflated by collapse
stable_core,внутригородская территория города федерального значения муниципальный округ Марьина роща,3,внутригородская территория города федерального значения муниципальный округ Даниловский,0.07244300528577294,1.0,reference static neighbor; pair coassignment can be inflated by collapse
stable_core,внутригородская территория города федерального значения муниципальный округ Марьина роща,4,внутригородская территория города федерального значения муниципальный округ Свиблово,0.07545698815657151,1.0,reference static neighbor; pair coassignment can be inflated by collapse
stable_core,внутригородская территория города федерального значения муниципальный округ Марьина роща,5,внутригородская территория города федерального значения муниципальный округ Останкинский,0.07803948953742557,1.0,reference static neighbor; pair coassignment can be inflated by collapse
boundary,Дальнереченский муниципальный район,1,городской округ Красноуфимский округ,0.287381932109142,0.78,reference static neighbor; pair coassignment can be inflated by collapse
boundary,Дальнереченский муниципальный район,2,Чеди-Хольский муниципальный район,0.30229384669011045,0.38,reference static neighbor; pair coassignment can be inflated by collapse
boundary,Дальнереченский муниципальный район,3,Пестречинский муниципальный район,0.36607983094198493,0.7,reference static neighbor; pair coassignment can be inflated by collapse
boundary,Дальнереченский муниципальный район,4,Каа-Хемский муниципальный район,0.3950436099775049,0.74,reference static neighbor; pair coassignment can be inflated by collapse
boundary,Дальнереченский муниципальный район,5,городской округ поселок Агинское,0.4023671550664705,0.28,reference static neighbor; pair coassignment can be inflated by collapse
context_candidate_unverified,внутригородская территория города федерального значения муниципальный округ Текстильщики,1,внутригородская территория города федерального значения муниципальный округ Ивановское,0.056813071385980275,1.0,reference static neighbor; pair coassignment can be inflated by collapse
context_candidate_unverified,внутригородская территория города федерального значения муниципальный округ Текстильщики,2,внутригородская территория города федерального значения муниципальный округ Гольяново,0.05742900897162698,1.0,reference static neighbor; pair coassignment can be inflated by collapse
context_candidate_unverified,внутригородская территория города федерального значения муниципальный округ Текстильщики,3,внутригородская территория города федерального значения муниципальный округ Северное Измайлово,0.0593454333948449,0.98,reference static neighbor; pair coassignment can be inflated by collapse
context_candidate_unverified,внутригородская территория города федерального значения муниципальный округ Текстильщики,4,внутригородская территория города федерального значения муниципальный округ Перово,0.0630150269594235,1.0,reference static neighbor; pair coassignment can be inflated by collapse
context_candidate_unverified,внутригородская территория города федерального значения муниципальный округ Текстильщики,5,внутригородская территория города федерального значения муниципальный округ Выхино-Жулебино,0.065092080838966,0.98,reference static neighbor; pair coassignment can be inflated by collapse
