municipality,month,Total,level_z,Food,Health,Catering,Marketplace,Transport,Other,profile,admin_form
Абазинский муниципальный район,2024-12-01,28058,-0.470692736024797,0.31445577019032006,0.05666832988808896,0.05823651008624991,0.22125596977689072,0.07776748164516359,0.2716159384132868,C,municipal_raion
Абанский муниципальный район,2024-12-01,27144,-0.5708021671869135,0.4862216327733569,0.0408193339227822,0.012967875036840553,0.21301208370173888,0.038903625110521665,0.20807544945475975,G,municipal_raion
Абатский муниципальный район,2024-12-01,30410,-0.22736174528628753,0.4637619204209142,0.03903321275896087,0.007267346267675107,0.18885235120026306,0.05731667214731996,0.24376849720486682,G,municipal_raion
Абзелиловский муниципальный район,2024-12-01,22044,-1.1999004494877463,0.39080929050988933,0.030983487570313918,0.03302485937216476,0.16721103248049357,0.06500635093449465,0.31296497913264365,G,municipal_raion
Агинский муниципальный район,2024-12-01,32175,-0.05681888275953072,0.3963014763014763,0.03530691530691531,0.024832944832944834,0.1454856254856255,0.07111111111111111,0.32696192696192694,A,municipal_raion
Агрызский муниципальный район,2024-12-01,25553,-0.7533851155709173,0.41134113411341133,0.04038664736038821,0.02743317810041874,0.1739521778264783,0.0405040504050405,0.306382812194263,G,municipal_raion
Адамовский муниципальный район,2024-12-01,24671,-0.8595658823894073,0.4245875724534879,0.0421952900166187,0.006485347168740626,0.23335089781524868,0.04592436463864456,0.24745652790725958,G,municipal_raion
Азнакаевский муниципальный район,2024-12-01,27017,-0.5849784301889204,0.4115927008920309,0.04338009401487952,0.03305326276048414,0.17174371691897694,0.05511344708886997,0.28511677832475846,G,municipal_raion
Азовский немецкий национальный муниципальный район,2024-12-01,25490,-0.7608469996418429,0.4142801098469988,0.03413103177716752,0.01785013730874853,0.21173009023146333,0.04578265986661436,0.2762259709690075,G,municipal_raion
Акбулакский муниципальный район,2024-12-01,22612,-1.1229987640762167,0.4210596143640545,0.043958959844330445,0.02034318061206439,0.20382982487174953,0.043339819564832835,0.2674686007429683,G,municipal_raion
Аксубаевский муниципальный район,2024-12-01,21197,-1.318337382868978,0.4461480398169552,0.03557107137802519,0.013303769401330377,0.18714912487616173,0.052507430296740105,0.2653205642307874,G,municipal_raion
Актанышский муниципальный район,2024-12-01,20710,-1.3885970130509584,0.4492032834379527,0.04307098020280058,0.025253500724287784,0.1656687590535973,0.05852245292129406,0.25828102366006755,G,municipal_raion
Алагирский муниципальный район,2024-12-01,30127,-0.25562437856496584,0.23317953994755536,0.06485876456334849,0.05948152819729811,0.24144455139907725,0.0730573903807216,0.3279782255119992,C,municipal_raion
Аларский муниципальный район,2024-12-01,32897,0.010262929112537086,0.410402164331094,0.03264735386205429,0.021886494209198408,0.18220506429157673,0.06240690640483935,0.29045201690123723,F,municipal_raion
Алданский муниципальный район,2024-12-01,55604,1.5968675437293933,0.40106826846989424,0.034386015394575926,0.038702251636572906,0.15694914034961513,0.050823681749514425,0.3180706423998273,A,municipal_raion
Александро-Невский муниципальный район,2024-12-01,30423,-0.22606978833275654,0.45018571475528385,0.034809190415146435,0.00907208362094468,0.26404365118495876,0.04355257535417283,0.19833678466949345,G,municipal_raion
Александрово-Гайский муниципальный район,2024-12-01,24262,-0.910098930889882,0.43640260489654603,0.04261808589563927,0.008820377545132306,0.2323798532684857,0.04537960596818069,0.234399472426016,G,municipal_raion
Александровский муниципальный округ,2024-12-01,28776,-0.39431210420755747,0.35859744231303864,0.04674033917153183,0.012788434806783431,0.22706422018348624,0.04962468723936614,0.3051848762857938,G,municipal_okrug
Аликовский муниципальный округ,2024-12-01,18601,-1.7132531329149459,0.4446535132519757,0.04967474866942637,0.016719531207999568,0.1650448900596742,0.05397559271006935,0.26993172410085475,G,municipal_okrug
Алькеевский муниципальный район,2024-12-01,22674,-1.1147217838475605,0.44054864602628563,0.04904295669048249,0.011687395254476493,0.16327070653612066,0.05993649113522096,0.2755138043574138,G,municipal_raion
Альменевский муниципальный округ,2024-12-01,23619,-0.9912917814526788,0.49248486388077395,0.047250095262288835,0.008467759007578644,0.18214149625301665,0.051695668741267624,0.21796011685507422,G,municipal_okrug
Альметьевский муниципальный район,2024-12-01,38329,0.4722281086067827,0.37553810430744344,0.050405698035430095,0.05371911607399097,0.15145190325862923,0.07067755485402698,0.29820762347047924,D,municipal_raion
Альшеевский муниципальный район,2024-12-01,24091,-0.9314794583755329,0.42410028641401354,0.04769415964468059,0.024116890124942926,0.18513137686272882,0.05516582956290731,0.26379145739072685,G,municipal_raion
Амгинский муниципальный район,2024-12-01,42147,0.7592662556581722,0.4224499964410278,0.025909317389138018,0.037820010914181315,0.06750183880228723,0.0692101454433293,0.3771086910100363,A,municipal_raion
Амурский муниципальный район,2024-12-01,41913,0.7424367440587599,0.38372342709899077,0.027867248824946914,0.02703218571803498,0.1678954023811228,0.028416004580917614,0.36506573139598697,A,municipal_raion
Анадырский муниципальный район,2024-12-01,79488,2.6770791395924953,0.40845159017713367,0.028041968599033816,0.03367803945249597,0.11558977455716586,0.04152828099838969,0.37271034621578103,A,municipal_raion
Андроповский муниципальный округ,2024-12-01,29610,-0.30794849426728,0.39658899020601146,0.045997973657548125,0.010908476865923675,0.2656197230665316,0.042823370482944954,0.23806146572104026,G,municipal_okrug
Антроповский муниципальный район,2024-12-01,27320,-0.5512655860821252,0.5115300146412884,0.04165446559297218,0.004465592972181552,0.25161054172767205,0.03748169838945827,0.15325768667642758,G,municipal_raion
Анучинский муниципальный округ,2024-12-01,32172,-0.057100744980881434,0.44843342036553524,0.03372497824194952,0.011625015541464627,0.18817605371130175,0.04357826681586473,0.27446226532388407,G,municipal_okrug
Апанасенковский муниципальный округ,2024-12-01,27902,-0.48754630709344254,0.39179987097699087,0.04544477098415884,0.009139129811483048,0.25413948820873056,0.05451222134614006,0.24496451867249658,G,municipal_okrug
Апастовский муниципальный район,2024-12-01,20563,-1.4101296418098317,0.4380197442007489,0.039828818752127605,0.0162427661333463,0.2106210183339007,0.05500170208627146,0.24028595049360502,G,municipal_raion
Аргаяшский муниципальный район,2024-12-01,26328,-0.6630680976088902,0.43725311455484656,0.03919781221513218,0.016560316013369797,0.1863795199027651,0.03760255241567913,0.28300668489820724,G,municipal_raion
Ардатовский муниципальный округ,2024-12-01,26513,-0.6419017270941455,0.4743710632519896,0.04673179195111832,0.009240749820842605,0.19967563082261533,0.039716365556519445,0.23026439859691483,G,municipal_okrug
Ардатовский муниципальный район,2024-12-01,21582,-1.2639265033498412,0.44708553424149755,0.051153739227133725,0.010610694096932629,0.2119358724863312,0.04374015383189695,0.23547400611620795,G,municipal_raion
Ардонский муниципальный район,2024-12-01,27779,-0.500901270755381,0.2816876057453472,0.06152129306310522,0.027322797796896937,0.2903632240181432,0.06796500953958026,0.2711400698369272,C,municipal_raion
Арзгирский муниципальный округ,2024-12-01,26453,-0.6487502699715071,0.39575851510225685,0.04906815862095037,0.00801421388878388,0.23490719389105205,0.04982421653498658,0.2624277019619703,G,municipal_okrug
Аркадакский муниципальный район,2024-12-01,26549,-0.6378000367409328,0.45602470902858866,0.045651436965610755,0.014350823006516253,0.22814418622170327,0.048664733134958005,0.20716411164262305,G,municipal_raion
Армизонский муниципальный район,2024-12-01,32067,-0.06698251707199929,0.3884990800511429,0.0384819284622821,0.008295132067234229,0.25206598684005366,0.053419403124707644,0.2592384694545795,G,municipal_raion
