archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,seed
A,141,1,141,139,0.9858156028368794,0.9858156028368794,0.972027972027972,0.9718338399189465,2,0
B,98,5,98,98,1.0,1.0,1.0,1.0,1,0
C,29,9,20,19,0.6551724137931034,0.95,0.6333333333333333,0.4926108374384236,3,0
D,153,10,156,136,0.8888888888888888,0.8717948717948718,0.7861271676300579,0.7951496388028896,3,0
E,186,6,199,186,1.0,0.9346733668341708,0.9346733668341708,1.0,1,0
F,327,8,492,301,0.9204892966360856,0.6117886178861789,0.581081081081081,0.850772030543517,4,0
G,965,11,787,785,0.8134715025906736,0.9974587039390088,0.811789038262668,0.6954464343301873,4,0
A,141,10,189,138,0.9787234042553192,0.7301587301587301,0.71875,0.9578520770010132,3,1
B,98,12,290,98,1.0,0.3379310344827586,0.3379310344827586,1.0,1,1
C,29,9,19,17,0.5862068965517241,0.8947368421052632,0.5483870967741935,0.4088669950738916,4,1
D,153,6,395,149,0.9738562091503268,0.3772151898734177,0.3734335839598997,0.9487444100447197,2,1
E,186,12,290,185,0.9946236559139784,0.6379310344827587,0.6357388316151202,0.989247311827957,2,1
F,327,6,395,225,0.6880733944954128,0.569620253164557,0.4527162977867203,0.5228982570683477,3,1
G,965,8,1007,942,0.9761658031088084,0.93545183714002,0.9145631067961164,0.9532130802141336,4,1
A,141,0,141,136,0.9645390070921984,0.9645390070921984,0.9315068493150684,0.9306990881458966,3,2
B,98,11,153,98,1.0,0.6405228758169934,0.6405228758169934,1.0,1,2
C,29,7,19,19,0.6551724137931034,1.0,0.6551724137931034,0.4926108374384236,3,2
D,153,8,258,126,0.8235294117647058,0.4883720930232558,0.4421052631578947,0.7074303405572755,2,2
E,186,8,258,130,0.6989247311827957,0.5038759689922481,0.4140127388535032,0.5736704446381866,3,2
F,327,9,638,319,0.9755351681957186,0.5,0.4938080495356037,0.951839552728842,3,2
G,965,12,575,575,0.5958549222797928,1.0,0.5958549222797928,0.454907230236708,4,2
A,141,8,457,138,0.9787234042553192,0.3019693654266958,0.3,0.9578520770010132,3,3
B,98,9,289,98,1.0,0.3391003460207612,0.3391003460207612,1.0,1,3
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,3
D,153,8,457,150,0.9803921568627452,0.3282275711159737,0.3260869565217391,0.9613003095975232,2,3
E,186,9,289,186,1.0,0.643598615916955,0.643598615916955,1.0,1,3
F,327,8,457,168,0.5137614678899083,0.3676148796498906,0.2727272727272727,0.4929551040318193,3,3
G,965,11,1132,964,0.998963730569948,0.8515901060070671,0.8508384819064431,0.9979274611398964,2,3
A,141,14,447,133,0.9432624113475178,0.2975391498881432,0.2923076923076923,0.8904761904761904,4,4
B,98,13,288,98,1.0,0.3402777777777778,0.3402777777777778,1.0,1,4
C,29,9,37,26,0.896551724137931,0.7027027027027027,0.65,0.8004926108374384,4,4
D,153,14,447,151,0.9869281045751634,0.3378076062639821,0.3363028953229399,0.974028207774338,2,4
E,186,13,288,186,1.0,0.6458333333333334,0.6458333333333334,1.0,1,4
F,327,14,447,161,0.4923547400611621,0.3601789709172259,0.2626427406199021,0.48042250614435,4,4
G,965,12,1123,961,0.9958549222797928,0.8557435440783615,0.8527062999112689,0.9917248941156236,4,4
A,141,12,153,138,0.9787234042553192,0.9019607843137256,0.8846153846153846,0.9578520770010132,3,5
B,98,10,214,98,1.0,0.4579439252336448,0.4579439252336448,1.0,1,5
C,29,14,20,20,0.6896551724137931,1.0,0.6896551724137931,0.5369458128078818,3,5
D,153,9,214,141,0.9215686274509804,0.6588785046728972,0.6238938053097345,0.8544891640866873,2,5
E,186,10,214,116,0.6236559139784946,0.5420560747663551,0.4084507042253521,0.5240337111304854,3,5
F,327,13,362,297,0.908256880733945,0.8204419889502762,0.7576530612244898,0.8300407121817602,4,5
G,965,11,938,913,0.9461139896373058,0.9733475479744136,0.9222222222222224,0.8978199643110528,3,5
A,141,0,178,138,0.9787234042553192,0.7752808988764045,0.7624309392265194,0.9578520770010132,3,6
B,98,6,54,54,0.5510204081632653,1.0,0.5510204081632653,0.5001051967178624,2,6
C,29,8,19,19,0.6551724137931034,1.0,0.6551724137931034,0.4926108374384236,3,6
D,153,5,455,150,0.9803921568627452,0.3296703296703296,0.3275109170305676,0.9611283109735124,3,6
E,186,9,242,185,0.9946236559139784,0.7644628099173554,0.7613168724279835,0.989247311827957,2,6
F,327,5,455,279,0.8532110091743119,0.6131868131868132,0.5546719681908548,0.7405864805538358,4,6
G,965,7,944,937,0.9709844559585492,0.9925847457627118,0.9639917695473252,0.943428718852794,4,6
A,141,2,135,133,0.9432624113475178,0.9851851851851852,0.93006993006993,0.890273556231003,4,7
B,98,0,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,7
C,29,7,32,26,0.896551724137931,0.8125,0.7428571428571429,0.8029556650246306,3,7
D,153,9,310,153,1.0,0.4935483870967742,0.4935483870967742,1.0,1,7
E,186,10,169,168,0.9032258064516128,0.9940828402366864,0.8983957219251337,0.822377215925603,3,7
F,327,8,259,161,0.4923547400611621,0.6216216216216216,0.3788235294117647,0.4551884580026641,5,7
G,965,11,880,868,0.8994818652849741,0.9863636363636364,0.8884339815762539,0.8185754520241653,3,7
A,141,4,142,138,0.9787234042553192,0.971830985915493,0.9517241379310344,0.9578520770010132,3,8
B,98,5,97,97,0.9897959183673468,1.0,0.9897959183673468,0.979591836734694,2,8
C,29,2,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,8
D,153,6,334,149,0.9738562091503268,0.4461077844311377,0.4408284023668639,0.9487444100447197,2,8
E,186,7,192,184,0.989247311827957,0.9583333333333334,0.9484536082474226,0.9785527462946818,3,8
F,327,6,334,167,0.5107033639143731,0.5,0.3380566801619433,0.4811917224817545,4,8
G,965,9,1007,851,0.8818652849740932,0.8450844091360477,0.7591436217662801,0.7882032980027089,4,8
A,141,6,138,133,0.9432624113475178,0.9637681159420288,0.910958904109589,0.8904761904761904,4,9
B,98,4,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,9
C,29,10,33,25,0.8620689655172413,0.7575757575757576,0.6756756756756757,0.7438423645320197,3,9
D,153,8,503,150,0.9803921568627452,0.2982107355864811,0.2964426877470356,0.9613003095975232,2,9
E,186,1,176,169,0.9086021505376344,0.9602272727272728,0.8756476683937824,0.8330136588201105,2,9
F,327,8,503,314,0.9602446483180428,0.6242544731610338,0.6085271317829457,0.9224404795407216,4,9
G,965,9,936,928,0.9616580310880828,0.9914529914529916,0.9537512846865364,0.9261023799797906,3,9
A,141,7,139,137,0.9716312056737588,0.9856115107913668,0.958041958041958,0.9439716312056736,4,10
B,98,6,98,98,1.0,1.0,1.0,1.0,1,10
C,29,13,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,10
D,153,8,175,139,0.9084967320261438,0.7942857142857143,0.7354497354497355,0.8298073615411077,3,10
E,186,3,188,184,0.989247311827957,0.9787234042553192,0.968421052631579,0.9785527462946818,3,10
F,327,5,178,158,0.4831804281345566,0.8876404494382022,0.4553314121037464,0.3661469766045665,5,10
G,965,12,1060,946,0.9803108808290156,0.8924528301886793,0.8767377201112141,0.9612538430116312,3,10
A,141,11,161,137,0.9716312056737588,0.8509316770186336,0.8303030303030303,0.9439716312056736,4,11
B,98,10,287,98,1.0,0.3414634146341463,0.3414634146341463,1.0,1,11
C,29,5,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,11
D,153,8,269,150,0.9803921568627452,0.5576208178438662,0.5514705882352942,0.9613003095975232,2,11
E,186,10,287,182,0.978494623655914,0.6341463414634146,0.6254295532646048,0.9575123510607382,3,11
F,327,12,1160,195,0.5963302752293578,0.168103448275862,0.1509287925696594,0.47745820903923,5,11
G,965,12,1160,963,0.9979274611398964,0.8301724137931035,0.8287435456110155,0.9958570722163697,3,11
A,141,9,492,135,0.9574468085106383,0.274390243902439,0.2710843373493976,0.9174265450861196,3,12
B,98,10,214,98,1.0,0.4579439252336448,0.4579439252336448,1.0,1,12
C,29,12,1188,27,0.9310344827586208,0.0227272727272727,0.0226890756302521,0.8669950738916257,2,12
D,153,9,492,153,1.0,0.3109756097560975,0.3109756097560975,1.0,1,12
E,186,10,214,116,0.6236559139784946,0.5420560747663551,0.4084507042253521,0.5280441732054635,2,12
F,327,12,1188,192,0.5871559633027523,0.1616161616161616,0.1451247165532879,0.508714658261571,3,12
G,965,12,1188,964,0.998963730569948,0.8114478114478114,0.8107653490328006,0.9979274611398964,2,12
A,141,4,173,130,0.9219858156028368,0.7514450867052023,0.7065217391304348,0.8522796352583587,3,13
B,98,2,148,98,1.0,0.6621621621621622,0.6621621621621622,1.0,1,13
C,29,8,36,27,0.9310344827586208,0.75,0.7105263157894737,0.8645320197044335,3,13
D,153,9,331,153,1.0,0.4622356495468278,0.4622356495468278,1.0,1,13
E,186,7,131,129,0.6935483870967742,0.9847328244274808,0.6861702127659575,0.5522813135716361,3,13
F,327,9,331,164,0.5015290519877675,0.4954682779456193,0.3319838056680162,0.3943453218513724,4,13
G,965,3,1083,964,0.998963730569948,0.8901200369344414,0.8892988929889298,0.9979274611398964,2,13
A,141,6,195,135,0.9574468085106383,0.6923076923076923,0.6716417910447762,0.9174265450861196,3,14
B,98,4,250,68,0.6938775510204082,0.272,0.2428571428571428,0.570797391121397,2,14
C,29,10,40,29,1.0,0.725,0.725,1.0,1,14
D,153,7,388,151,0.9869281045751634,0.3891752577319587,0.3871794871794872,0.974028207774338,2,14
E,186,4,250,182,0.978494623655914,0.728,0.7165354330708661,0.9575123510607382,3,14
F,327,7,388,214,0.654434250764526,0.5515463917525774,0.4271457085828343,0.482411211797152,4,14
G,965,11,997,942,0.9761658031088084,0.9448345035105316,0.923529411764706,0.95320878034098,5,14
A,141,2,140,135,0.9574468085106383,0.9642857142857144,0.9246575342465754,0.9171225937183384,3,15
B,98,6,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,15
C,29,3,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4876847290640394,3,15
D,153,11,186,151,0.9869281045751634,0.8118279569892473,0.8031914893617021,0.974028207774338,2,15
E,186,8,138,136,0.7311827956989247,0.9855072463768116,0.723404255319149,0.5721592560302238,3,15
F,327,10,344,310,0.9480122324159022,0.9011627906976744,0.8587257617728532,0.9000018761374083,3,15
G,965,4,961,935,0.9689119170984456,0.9729448491155048,0.9434914228052472,0.9396942790187688,2,15
A,141,4,132,124,0.8794326241134752,0.9393939393939394,0.8322147651006712,0.7797365754812563,3,16
B,98,10,246,98,1.0,0.3983739837398374,0.3983739837398374,1.0,1,16
C,29,7,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,16
D,153,8,337,153,1.0,0.4540059347181009,0.4540059347181009,1.0,1,16
E,186,10,246,148,0.7956989247311828,0.6016260162601627,0.5211267605633803,0.6635280441732054,3,16
F,327,11,1142,176,0.5382262996941896,0.1541155866900175,0.1361175560711523,0.469503386428022,4,16
G,965,11,1142,964,0.998963730569948,0.8441330998248686,0.8433945756780402,0.9979274611398964,2,16
A,141,3,125,123,0.8723404255319149,0.984,0.8601398601398601,0.7700101317122594,3,17
B,98,10,116,98,1.0,0.8448275862068966,0.8448275862068966,1.0,1,17
C,29,7,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4088669950738916,4,17
D,153,11,480,153,1.0,0.31875,0.31875,1.0,1,17
E,186,1,169,167,0.8978494623655914,0.9881656804733728,0.8882978723404256,0.81453065969195,3,17
F,327,11,480,293,0.8960244648318043,0.6104166666666667,0.5700389105058365,0.8102287011500723,5,17
G,965,8,977,945,0.9792746113989638,0.9672466734902764,0.9478435305917752,0.9592888009803712,3,17
A,141,5,145,135,0.9574468085106383,0.9310344827586208,0.8940397350993378,0.9174265450861196,3,18
B,98,9,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,18
