pair,cross_coassignment,seed
A/D,0.0006489593473323,0
B/E,0.0,0
D/F,0.1150886450400751,0
F/G,0.169789735545309,0
A/D,0.0072776155379409,1
B/E,0.9946236559139784,1
D/F,0.6700845475805001,1
F/G,0.1982982364405571,1
A/D,0.0058406341259908,2
B/E,0.2956989247311828,2
D/F,0.172153264975715,2
F/G,0.2931057977214749,2
A/D,0.9598108747044918,3
B/E,1.0,3
D/F,0.5036877136175572,3
F/G,0.4796247880718099,3
A/D,0.9311176007045844,4
B/E,1.0,4
D/F,0.4859187303871599,4
F/G,0.4873001536974537,4
A/D,0.0130718954248366,5
B/E,0.6236559139784946,5
D/F,0.0740540864663908,5
F/G,0.1174565448178606,5
A/D,0.0065823019515134,6
B/E,0.4465657230634189,6
D/F,0.8375007495352881,6
F/G,0.034098651582133,6
A/D,0.0212765957446808,7
B/E,0.086021505376344,7
D/F,0.4617737003058104,7
F/G,0.0787279555069639,7
A/D,0.0139989802067399,8
B/E,0.010094360324775,8
D/F,0.4973516419819712,8
F/G,0.4236630698293483,8
A/D,0.0072312612988457,9
B/E,0.0913978494623656,9
D/F,0.941416321880434,9
F/G,0.0534740378064045,9
A/D,0.0076020952116071,10
B/E,0.0,10
D/F,0.1319781735324099,10
F/G,0.3412780656303972,10
A/D,0.0072312612988457,11
B/E,0.978494623655914,11
D/F,0.3419080170294417,11
F/G,0.5951387238357814,11
A/D,0.9574468085106383,12
B/E,0.6236559139784946,12
D/F,0.4067278287461773,12
F/G,0.586547511527309,12
A/D,0.0496453900709219,13
B/E,0.2688172043010752,13
D/F,0.5015290519877675,13
F/G,0.357440065915609,13
A/D,0.0195151346590645,14
B/E,0.6789554531490015,14
D/F,0.6480781915212568,14
F/G,0.1737827003216555,14
A/D,0.0139989802067399,15
B/E,0.0913978494623656,15
D/F,0.0123923167636065,15
F/G,0.0650282835004991,15
A/D,0.0780141843971631,16
B/E,0.7956989247311828,16
D/F,0.4250764525993883,16
F/G,0.5376812283120217,16
A/D,0.0992907801418439,17
B/E,0.0967741935483871,17
D/F,0.8960244648318043,17
F/G,0.1035667316315697,17
A/D,0.0069531358642747,18
B/E,0.086021505376344,18
D/F,0.4557174551777898,18
F/G,0.4974473546608356,18
A/D,0.9716312056737588,19
B/E,0.9946236559139784,19
D/F,0.5474006116207951,19
F/G,0.4460205035572245,19
A/D,0.0004635423909516,20
B/E,0.3440860215053763,20
D/F,0.0185085247146769,20
F/G,0.2333095656858551,20
A/D,0.0070921985815602,21
B/E,0.0,21
D/F,0.0209470128520317,21
F/G,0.0406458462074757,21
A/D,0.9929078014184396,22
B/E,0.6236559139784946,22
D/F,0.5749235474006116,22
F/G,0.4212736290028679,22
A/D,0.0212765957446808,23
B/E,0.9946236559139784,23
D/F,0.9235474006116208,23
F/G,0.0359652041640918,23
A/D,0.9300514532053956,24
B/E,0.9897959183673468,24
D/F,0.9661210049769144,24
F/G,0.9665605045079304,24
A/D,0.0004635423909516,25
B/E,0.086021505376344,25
D/F,0.0618816333872998,25
F/G,0.0444296556860135,25
A/D,0.0085291799935104,26
B/E,0.2795698924731182,26
D/F,0.0246447202734304,26
F/G,0.1186861244474022,26
A/D,0.0071849070597506,27
B/E,0.0913978494623656,27
D/F,0.3199216485778817,27
F/G,0.2706564624233493,27
A/D,0.0767626199415936,28
B/E,0.6075268817204301,28
D/F,0.4797025843976734,28
F/G,0.2645339164329515,28
A/D,0.0631808278867102,29
B/E,0.0,29
D/F,0.6760608422777877,29
F/G,0.3067991316886121,29
A/D,0.8807305428081398,30
B/E,0.6451612903225806,30
D/F,0.3433071495672682,30
F/G,0.6323873809636988,30
A/D,0.0070458443424651,31
B/E,0.0944151854290103,31
D/F,0.0212668145749635,31
F/G,0.7905214621856729,31
A/D,0.0141843971631205,32
B/E,0.989247311827957,32
D/F,0.9387779576662468,32
F/G,0.0769596425345819,32
A/D,0.0921985815602836,33
B/E,0.0053763440860215,33
D/F,0.4892966360856269,33
F/G,0.2510307236456402,33
A/D,0.0577573819125759,34
B/E,1.0,34
D/F,0.0117926885331094,34
F/G,0.0566810857061368,34
A/D,0.014045334445835,35
B/E,0.086021505376344,35
D/F,0.4946932901601007,35
F/G,0.357072459634612,35
A/D,0.0002781254345709,36
B/E,0.9946236559139784,36
D/F,0.0450320801103315,36
F/G,0.5826813075375132,36
A/D,0.9929078014184396,37
B/E,0.989247311827957,37
D/F,0.4525993883792049,37
F/G,0.5406315856189887,37
A/D,0.013489083576693,38
B/E,0.086021505376344,38
D/F,0.1476084827407007,38
F/G,0.295973760517184,38
A/D,0.9300514532053956,39
B/E,0.979591836734694,39
D/F,0.981311586816174,39
F/G,0.9846968040436692,39
A/D,0.1056876651369767,40
B/E,0.086021505376344,40
D/F,0.8142151865843177,40
F/G,0.1748950262236377,40
A/D,0.9734390209984704,41
B/E,0.9516129032258064,41
D/F,0.4886970078551298,41
F/G,0.4826797230276813,41
A/D,0.0218328466138228,42
B/E,0.5645161290322581,42
D/F,0.0178289460534468,42
F/G,0.1012660233556749,42
A/D,0.0134427293375979,43
B/E,0.086021505376344,43
D/F,0.5277927684835402,43
F/G,0.4370838681054016,43
A/D,0.0135354378157882,44
B/E,0.086021505376344,44
D/F,0.4042893406088225,44
F/G,0.2676997670770547,44
A/D,0.0178927362907337,45
B/E,0.2186745666008338,45
D/F,0.1584017908896484,45
F/G,0.3096100521303734,45
A/D,0.0141843971631205,46
B/E,0.5806451612903226,46
D/F,0.039655413643541,46
F/G,0.2857568411211991,46
A/D,0.9799286144717936,47
B/E,0.9838709677419356,47
D/F,0.9567468169734764,47
F/G,0.0498993836256754,47
A/D,0.0763454317897371,48
B/E,0.5816326530612245,48
D/F,0.4499410365573345,48
F/G,0.3849091283611415,48
A/D,0.0212765957446808,49
B/E,0.0913978494623656,49
D/F,0.764525993883792,49
F/G,0.0851230371884457,49
