panel_index,municipality,profile,mean_peer_coassignment,mean_destination_precision,mean_destination_Jaccard
0,Абазинский муниципальный район,C,0.7085714285714286,0.8393131386968361,0.5899290715372216
1,Абанский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
2,Абатский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
3,Абзелиловский муниципальный район,G,0.24680497925311207,0.394192553264136,0.21305642320194063
4,Агинский муниципальный район,A,0.901285714285714,0.6910176895355035,0.6527223284143757
5,Агрызский муниципальный район,G,0.7766390041493776,0.8574691280071812,0.6880156103979005
6,Адамовский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
7,Азнакаевский муниципальный район,G,0.44004149377593366,0.5025179649182041,0.3600967182823689
8,Азовский немецкий национальный муниципальный район,G,0.9043153526970952,0.8922943012292854,0.8108885964895123
9,Акбулакский муниципальный район,G,0.8676970954356844,0.8880845860367611,0.7761112792512046
10,Аксубаевский муниципальный район,G,0.903900414937759,0.9031232963106052,0.8136167729002638
11,Актанышский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
12,Алагирский муниципальный район,C,0.7085714285714286,0.8393131386968361,0.5899290715372216
13,Аларский муниципальный район,F,0.42085889570552143,0.16911130945473574,0.15150716796329755
14,Алданский муниципальный район,A,0.9408571428571426,0.7268135437384217,0.6882053842730724
15,Александро-Невский муниципальный район,G,0.9039834024896262,0.9026946084334091,0.8135457294090149
16,Александрово-Гайский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
17,Александровский муниципальный округ,G,0.9057468879668048,0.8982967067152294,0.8138561218447704
18,Аликовский муниципальный округ,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
19,Алькеевский муниципальный район,G,0.826763485477178,0.8863867226914135,0.7374828151955164
20,Альменевский муниципальный округ,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
21,Альметьевский муниципальный район,D,0.9756578947368425,0.5116609246776775,0.4993048541706834
22,Альшеевский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
23,Амгинский муниципальный район,A,0.9408571428571426,0.7268135437384217,0.6882053842730724
24,Амурский муниципальный район,A,0.889285714285714,0.6714242364039278,0.6374685716142952
25,Анадырский муниципальный район,A,0.9408571428571426,0.7268135437384217,0.6882053842730724
26,Андроповский муниципальный округ,G,0.9053319502074686,0.9031245193661228,0.814877043328707
27,Антроповский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
28,Анучинский муниципальный округ,G,0.8833817427385892,0.8546162072277914,0.7841561624517074
29,Апанасенковский муниципальный округ,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
30,Апастовский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
31,Аргаяшский муниципальный район,G,0.9048132780082985,0.8870378007011961,0.8097966315143268
32,Ардатовский муниципальный округ,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
33,Ардатовский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
34,Ардонский муниципальный район,C,0.7085714285714286,0.8393131386968361,0.5899290715372216
35,Арзгирский муниципальный округ,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
36,Аркадакский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
37,Армизонский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
38,Аромашевский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
39,Арсеньевский муниципальный район,G,0.8833817427385892,0.8546162072277914,0.7841561624517074
40,Арский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
41,Архангельский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
42,Архаринский муниципальный округ,F,0.5944171779141105,0.3906384089452905,0.31537970448012176
43,Асекеевский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
44,Асиновский муниципальный район,G,0.7262448132780084,0.6925517062368737,0.6270597280059976
45,Аскинский муниципальный район,G,0.7968879668049792,0.8810903809059606,0.7088465614732865
46,Аткарский муниципальный район,G,0.9053319502074686,0.9031245193661228,0.814877043328707
47,Атнинский муниципальный район,G,0.8253526970954356,0.8798420236626867,0.7352349185890512
48,Атюрьевский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
49,Атяшевский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
50,Аургазинский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
51,Ахтубинский муниципальный район,G,0.8707883817427383,0.8419028055067349,0.7707038062368842
52,Ашинский муниципальный район,G,0.8383817427385891,0.8140666576183784,0.7380640198710815
53,Бабаевский муниципальный округ,G,0.8547510373443983,0.8295114401153697,0.7546180318312227
54,Бабушкинский муниципальный округ,G,0.8988796680497922,0.8760973618297228,0.8022783154127187
55,Бабынинский муниципальный район,G,0.8707883817427383,0.8419028055067349,0.7707038062368842
56,Бавлинский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
57,Баганский муниципальный район,G,0.8988796680497922,0.8760973618297228,0.8022783154127187
58,Баевский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
59,Базарно-Карабулакский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
60,Базарносызганский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
61,Бай-Тайгинский муниципальный район,C,0.46714285714285725,0.3388333507216227,0.2584044368106294
62,Байкаловский муниципальный район,G,0.8968049792531118,0.876605340295392,0.8003300565780375
63,Баймакский муниципальный район,G,0.44004149377593366,0.5025179649182041,0.3600967182823689
64,Бакалинский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
65,Бакчарский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
66,Балаганский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
67,Балаковский муниципальный район,D,0.9626315789473686,0.5027398778015385,0.49116955519024796
68,Балахнинский муниципальный округ,F,0.6703067484662577,0.5348637768056214,0.4219484300929954
69,Балахтинский муниципальный район,F,0.6787116564417178,0.45786599034827496,0.3865079183812575
70,Балашовский муниципальный район,F,0.6521472392638037,0.3842826690912998,0.3342327118641438
71,Балейский муниципальный район,F,0.623435582822086,0.3558971956553403,0.3129911592343463
72,Балтайский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
73,Балтасинский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
74,Балтачевский муниципальный район,G,0.7954564315352697,0.8750879754200165,0.7058790361180285
75,Барабинский муниципальный район,F,0.6468711656441718,0.357080712513579,0.3219563990346142
76,Барун-Хемчикский муниципальный район,C,0.46714285714285725,0.3388333507216227,0.2584044368106294
77,Барышский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
78,Барятинский муниципальный район,G,0.9034854771784228,0.9079511089614986,0.8146376943842004
