archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,mode,seed,louvain_seed,gamma
A,141,2,1868,132,0.9361702127659575,0.07066381156316917,0.07032498668087374,0.8788247213779129,3,collapse_fixed,24,0,0.5
B,98,2,1868,97,0.9897959183673469,0.05192719486081371,0.051899411449973246,0.9795918367346939,2,collapse_fixed,24,0,0.5
C,29,2,1868,20,0.6896551724137931,0.010706638115631691,0.010655301012253596,0.49261083743842365,4,collapse_fixed,24,0,0.5
D,153,2,1868,152,0.9934640522875817,0.08137044967880086,0.08132691278758694,0.9869281045751634,2,collapse_fixed,24,0,0.5
E,186,2,1868,186,1.0,0.09957173447537473,0.09957173447537473,1.0,1,collapse_fixed,24,0,0.5
F,327,2,1868,320,0.9785932721712538,0.17130620985010706,0.17066666666666666,0.9577681469390819,4,collapse_fixed,24,0,0.5
G,965,2,1868,961,0.9958549222797928,0.5144539614561028,0.5133547008547008,0.9917248941156236,4,collapse_fixed,24,0,0.5
A,141,6,1864,132,0.9361702127659575,0.07081545064377683,0.07047517351841964,0.8788247213779129,3,combined,24,24,0.5
B,98,6,1864,97,0.9897959183673469,0.05203862660944206,0.05201072386058981,0.9795918367346939,2,combined,24,24,0.5
C,29,6,1864,20,0.6896551724137931,0.01072961373390558,0.010678056593699947,0.5123152709359606,3,combined,24,24,0.5
D,153,6,1864,152,0.9934640522875817,0.0815450643776824,0.08150134048257372,0.9869281045751634,2,combined,24,24,0.5
E,186,6,1864,186,1.0,0.09978540772532189,0.09978540772532189,1.0,1,combined,24,24,0.5
F,327,6,1864,318,0.9724770642201835,0.17060085836909872,0.16978109983982914,0.9461548563816814,3,combined,24,24,0.5
G,965,6,1864,959,0.9937823834196892,0.5144849785407726,0.5128342245989305,0.9876185152538001,3,combined,24,24,0.5
A,141,7,1874,132,0.9361702127659575,0.07043756670224119,0.07010090281465746,0.8796352583586626,2,collapse_fixed,39,0,0.5
B,98,7,1874,96,0.9795918367346939,0.051227321237993596,0.0511727078891258,0.9596044603408374,2,collapse_fixed,39,0,0.5
C,29,7,1874,22,0.7586206896551724,0.011739594450373533,0.011695906432748537,0.5960591133004927,3,collapse_fixed,39,0,0.5
D,153,7,1874,152,0.9934640522875817,0.08110992529348986,0.08106666666666666,0.9869281045751634,2,collapse_fixed,39,0,0.5
E,186,7,1874,186,1.0,0.09925293489861259,0.09925293489861259,1.0,1,collapse_fixed,39,0,0.5
F,327,7,1874,324,0.9908256880733946,0.1728922091782284,0.17261587639850826,0.9817076602690381,4,collapse_fixed,39,0,0.5
G,965,7,1874,962,0.9968911917098445,0.5133404482390609,0.512519978689398,0.9937909831659966,3,collapse_fixed,39,0,0.5
A,141,11,1877,132,0.9361702127659575,0.07032498668087374,0.06998939554612937,0.8788247213779129,3,combined,39,39,0.5
B,98,11,1877,96,0.9795918367346939,0.05114544485881726,0.05109100585417775,0.9596044603408374,2,combined,39,39,0.5
C,29,11,1877,25,0.8620689655172413,0.013319126265316995,0.013290802764486975,0.7463054187192119,3,combined,39,39,0.5
D,153,11,1877,152,0.9934640522875817,0.08098028769312733,0.08093716719914804,0.9869281045751634,2,combined,39,39,0.5
E,186,11,1877,186,1.0,0.09909429941395845,0.09909429941395845,1.0,1,combined,39,39,0.5
F,327,11,1877,323,0.9877675840978594,0.17208311134789558,0.1717171717171717,0.975685259188383,3,combined,39,39,0.5
G,965,11,1877,962,0.9968911917098445,0.512519978689398,0.5117021276595745,0.9937909831659966,3,combined,39,39,0.5
