pair,cross_coassignment,mode,seed,louvain_seed,gamma
A/B,0.9266174554928355,collapse_fixed,24,0,0.5
A/C,0.6456346294937637,collapse_fixed,24,0,0.5
A/D,0.9300978074444908,collapse_fixed,24,0,0.5
A/E,0.9361702127659575,collapse_fixed,24,0,0.5
A/F,0.9170191077276769,collapse_fixed,24,0,0.5
A/G,0.9322897144746995,collapse_fixed,24,0,0.5
B/C,0.6826178747361014,collapse_fixed,24,0,0.5
B/D,0.9833266639989329,collapse_fixed,24,0,0.5
B/E,0.9897959183673469,collapse_fixed,24,0,0.5
B/F,0.9686076265368533,collapse_fixed,24,0,0.5
B/G,0.9856931373585703,collapse_fixed,24,0,0.5
C/D,0.6851476222672978,collapse_fixed,24,0,0.5
C/E,0.6896551724137931,collapse_fixed,24,0,0.5
C/F,0.6753137192871455,collapse_fixed,24,0,0.5
C/G,0.6871538324102198,collapse_fixed,24,0,0.5
D/E,0.9934640522875817,collapse_fixed,24,0,0.5
D/F,0.9722172253203014,collapse_fixed,24,0,0.5
D/G,0.9893460665786177,collapse_fixed,24,0,0.5
E/F,0.9785932721712538,collapse_fixed,24,0,0.5
E/G,0.9958549222797928,collapse_fixed,24,0,0.5
F/G,0.9745400960212958,collapse_fixed,24,0,0.5
A/B,0.9266174554928355,combined,24,24,0.5
A/C,0.6456346294937637,combined,24,24,0.5
A/D,0.9300514532053956,combined,24,24,0.5
A/E,0.9361702127659575,combined,24,24,0.5
A/F,0.9104040601210228,combined,24,24,0.5
A/G,0.9303494653290707,combined,24,24,0.5
B/C,0.6826178747361014,combined,24,24,0.5
B/D,0.9833266639989329,combined,24,24,0.5
B/E,0.9897959183673469,combined,24,24,0.5
B/F,0.9625538288709979,combined,24,24,0.5
B/G,0.983641746854182,combined,24,24,0.5
C/D,0.6851476222672978,combined,24,24,0.5
C/E,0.6896551724137931,combined,24,24,0.5
C/F,0.6713065485605821,combined,24,24,0.5
C/G,0.6855815615508308,combined,24,24,0.5
D/E,0.9934640522875817,combined,24,24,0.5
D/F,0.9661210049769143,combined,24,24,0.5
D/G,0.9872870737241356,combined,24,24,0.5
E/F,0.9724770642201835,combined,24,24,0.5
E/G,0.9937823834196892,combined,24,24,0.5
F/G,0.9665605045079305,combined,24,24,0.5
A/B,0.9170646982197134,collapse_fixed,39,0,0.5
A/C,0.7101980924431401,collapse_fixed,39,0,0.5
A/D,0.9300514532053956,collapse_fixed,39,0,0.5
A/E,0.9361702127659575,collapse_fixed,39,0,0.5
A/F,0.9275814952176459,collapse_fixed,39,0,0.5
A/G,0.9332598390475141,collapse_fixed,39,0,0.5
B/C,0.7431386347642506,collapse_fixed,39,0,0.5
B/D,0.9733226623982927,collapse_fixed,39,0,0.5
B/E,0.9795918367346939,collapse_fixed,39,0,0.5
B/F,0.9706047556637334,collapse_fixed,39,0,0.5
B/G,0.9765464735116844,collapse_fixed,39,0,0.5
C/D,0.7536623844940274,collapse_fixed,39,0,0.5
C/E,0.7586206896551724,collapse_fixed,39,0,0.5
C/F,0.7521881261204261,collapse_fixed,39,0,0.5
C/G,0.7564052170805788,collapse_fixed,39,0,0.5
D/E,0.9934640522875817,collapse_fixed,39,0,0.5
D/F,0.9843497031840259,collapse_fixed,39,0,0.5
D/G,0.9903755630058586,collapse_fixed,39,0,0.5
E/F,0.9908256880733946,collapse_fixed,39,0,0.5
E/G,0.9968911917098445,collapse_fixed,39,0,0.5
F/G,0.9877485699798767,collapse_fixed,39,0,0.5
A/B,0.9170646982197134,combined,39,39,0.5
A/C,0.8070432868672047,combined,39,39,0.5
A/D,0.9300514532053956,combined,39,39,0.5
A/E,0.9361702127659575,combined,39,39,0.5
A/F,0.9251089856204047,combined,39,39,0.5
A/G,0.9332598390475141,combined,39,39,0.5
B/C,0.844475721323012,combined,39,39,0.5
B/D,0.9731892757102841,combined,39,39,0.5
B/E,0.9795918367346939,combined,39,39,0.5
B/F,0.9676090619734132,combined,39,39,0.5
B/G,0.9765464735116844,combined,39,39,0.5
C/D,0.8564345278341221,combined,39,39,0.5
C/E,0.8620689655172413,combined,39,39,0.5
C/F,0.8515237793947064,combined,39,39,0.5
C/G,0.8596033589422906,combined,39,39,0.5
D/E,0.9934640522875817,combined,39,39,0.5
D/F,0.9813115868161739,combined,39,39,0.5
D/G,0.9903755630058586,combined,39,39,0.5
E/F,0.9877675840978594,combined,39,39,0.5
E/G,0.9968911917098445,combined,39,39,0.5
F/G,0.9846968040436691,combined,39,39,0.5
