archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,mode,seed,louvain_seed,gamma
A,141,1,141,141,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
B,98,3,98,98,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
C,29,7,29,29,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
D,153,8,153,153,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
E,186,9,186,186,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
F,327,10,327,327,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
G,965,11,965,965,1.0,1.0,1.0,1.0,1,optimizer_only,0,0,0.5
A,141,4,129,121,0.8581560283687943,0.937984496124031,0.8120805369127517,0.7463019250253293,3,optimizer_only,1,1,0.5
B,98,0,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,optimizer_only,1,1,0.5
C,29,1,20,19,0.6551724137931034,0.95,0.6333333333333333,0.49261083743842365,3,optimizer_only,1,1,0.5
D,153,6,610,150,0.9803921568627451,0.2459016393442623,0.24469820554649266,0.9613003095975232,2,optimizer_only,1,1,0.5
E,186,8,171,166,0.8924731182795699,0.9707602339181286,0.8691099476439791,0.8033129904097646,3,optimizer_only,1,1,0.5
F,327,6,610,314,0.9602446483180428,0.5147540983606558,0.5040128410914928,0.9225530477852197,4,optimizer_only,1,1,0.5
G,965,7,837,835,0.8652849740932642,0.997610513739546,0.8634953464322648,0.7655343667361812,4,optimizer_only,1,1,0.5
A,141,1,158,126,0.8936170212765957,0.7974683544303798,0.7283236994219653,0.8058763931104357,3,optimizer_only,2,2,0.5
B,98,7,287,98,1.0,0.34146341463414637,0.34146341463414637,1.0,1,optimizer_only,2,2,0.5
C,29,3,17,17,0.5862068965517241,1.0,0.5862068965517241,0.3817733990147783,5,optimizer_only,2,2,0.5
D,153,4,318,153,1.0,0.4811320754716981,0.4811320754716981,1.0,1,optimizer_only,2,2,0.5
E,186,7,287,186,1.0,0.6480836236933798,0.6480836236933798,1.0,1,optimizer_only,2,2,0.5
F,327,4,318,150,0.45871559633027525,0.4716981132075472,0.30303030303030304,0.42590195305904205,3,optimizer_only,2,2,0.5
G,965,9,1118,962,0.9968911917098445,0.8604651162790697,0.8581623550401427,0.9937909831659966,3,optimizer_only,2,2,0.5
A,141,1,154,138,0.9787234042553191,0.8961038961038961,0.8789808917197452,0.9578520770010132,3,optimizer_only,3,3,0.5
B,98,4,59,58,0.5918367346938775,0.9830508474576272,0.5858585858585859,0.5118872291184515,2,optimizer_only,3,3,0.5
C,29,11,18,18,0.6206896551724138,1.0,0.6206896551724138,0.43596059113300495,4,optimizer_only,3,3,0.5
D,153,5,422,153,1.0,0.36255924170616116,0.36255924170616116,1.0,1,optimizer_only,3,3,0.5
E,186,2,230,185,0.9946236559139785,0.8043478260869565,0.8008658008658008,0.989247311827957,2,optimizer_only,3,3,0.5
F,327,5,422,252,0.7706422018348624,0.5971563981042654,0.5070422535211268,0.627643008573948,5,optimizer_only,3,3,0.5
G,965,8,1007,940,0.9740932642487047,0.9334657398212513,0.9108527131782945,0.9491196009717713,4,optimizer_only,3,3,0.5
A,141,7,149,137,0.9716312056737588,0.9194630872483222,0.8954248366013072,0.9439716312056737,4,optimizer_only,4,4,0.5
B,98,4,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,optimizer_only,4,4,0.5
C,29,5,29,28,0.9655172413793104,0.9655172413793104,0.9333333333333333,0.9310344827586207,2,optimizer_only,4,4,0.5
D,153,8,153,149,0.9738562091503268,0.9738562091503268,0.9490445859872612,0.9484864121087031,3,optimizer_only,4,4,0.5
E,186,1,187,169,0.9086021505376344,0.9037433155080213,0.8284313725490197,0.8330136588201105,2,optimizer_only,4,4,0.5
F,327,10,259,248,0.7584097859327217,0.9575289575289575,0.7337278106508875,0.6028029492880058,5,optimizer_only,4,4,0.5
G,965,11,1010,956,0.9906735751295337,0.9465346534653465,0.9381746810598626,0.981469696643949,4,optimizer_only,4,4,0.5
A,141,6,128,92,0.6524822695035462,0.71875,0.519774011299435,0.5432624113475177,2,optimizer_only,5,5,0.5
B,98,4,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,optimizer_only,5,5,0.5
C,29,10,18,18,0.6206896551724138,1.0,0.6206896551724138,0.46798029556650245,3,optimizer_only,5,5,0.5
D,153,11,326,150,0.9803921568627451,0.4601226993865031,0.45592705167173253,0.9613003095975232,2,optimizer_only,5,5,0.5
E,186,9,166,162,0.8709677419354839,0.9759036144578314,0.8526315789473684,0.766579482708515,3,optimizer_only,5,5,0.5
F,327,7,1147,173,0.5290519877675841,0.15082824760244115,0.13297463489623368,0.4204611545749611,3,optimizer_only,5,5,0.5
G,965,7,1147,964,0.9989637305699481,0.8404533565823888,0.8397212543554007,0.9979274611398964,2,optimizer_only,5,5,0.5
A,141,0,142,139,0.9858156028368794,0.9788732394366197,0.9652777777777778,0.9718338399189463,2,optimizer_only,6,6,0.5
B,98,7,115,98,1.0,0.8521739130434782,0.8521739130434782,1.0,1,optimizer_only,6,6,0.5
C,29,1,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,optimizer_only,6,6,0.5
D,153,9,510,150,0.9803921568627451,0.29411764705882354,0.29239766081871343,0.9613003095975232,2,optimizer_only,6,6,0.5
E,186,2,175,168,0.9032258064516129,0.96,0.8704663212435233,0.82324905550712,3,optimizer_only,6,6,0.5
F,327,9,510,319,0.9755351681957186,0.6254901960784314,0.6158301158301158,0.951895836851091,3,optimizer_only,6,6,0.5
G,965,10,852,844,0.8746113989637305,0.9906103286384976,0.8674203494347379,0.7733020875884161,4,optimizer_only,6,6,0.5
A,141,8,139,134,0.950354609929078,0.9640287769784173,0.9178082191780822,0.9035460992907801,4,optimizer_only,7,7,0.5
B,98,6,150,98,1.0,0.6533333333333333,0.6533333333333333,1.0,1,optimizer_only,7,7,0.5
C,29,5,32,27,0.9310344827586207,0.84375,0.7941176470588235,0.8669950738916257,2,optimizer_only,7,7,0.5
D,153,7,474,153,1.0,0.3227848101265823,0.3227848101265823,1.0,1,optimizer_only,7,7,0.5
E,186,7,474,102,0.5483870967741935,0.21518987341772153,0.1827956989247312,0.4052891601278698,3,optimizer_only,7,7,0.5
F,327,7,474,215,0.6574923547400612,0.45358649789029537,0.36689419795221845,0.5362000712932216,4,optimizer_only,7,7,0.5
G,965,9,1072,963,0.9979274611398964,0.898320895522388,0.8966480446927374,0.9958570722163697,3,optimizer_only,7,7,0.5
A,141,7,122,122,0.8652482269503546,1.0,0.8652482269503546,0.7556231003039514,4,optimizer_only,8,8,0.5
B,98,10,289,98,1.0,0.3391003460207612,0.3391003460207612,1.0,1,optimizer_only,8,8,0.5
C,29,6,18,18,0.6206896551724138,1.0,0.6206896551724138,0.4482758620689655,4,optimizer_only,8,8,0.5
D,153,8,480,150,0.9803921568627451,0.3125,0.3105590062111801,0.9613003095975232,2,optimizer_only,8,8,0.5
E,186,10,289,186,1.0,0.643598615916955,0.643598615916955,1.0,1,optimizer_only,8,8,0.5
F,327,8,480,301,0.9204892966360856,0.6270833333333333,0.5948616600790514,0.8531734864261459,2,optimizer_only,8,8,0.5
G,965,9,973,946,0.9803108808290155,0.9722507708119219,0.9536290322580645,0.9612495431384774,4,optimizer_only,8,8,0.5
A,141,4,174,128,0.9078014184397163,0.735632183908046,0.6844919786096256,0.8266464032421479,4,optimizer_only,9,9,0.5
B,98,2,99,98,1.0,0.98989898989899,0.98989898989899,1.0,1,optimizer_only,9,9,0.5
C,29,10,30,21,0.7241379310344828,0.7,0.5526315789473685,0.5689655172413793,3,optimizer_only,9,9,0.5
D,153,8,334,151,0.9869281045751634,0.45209580838323354,0.4494047619047619,0.9740282077743379,2,optimizer_only,9,9,0.5
E,186,6,187,183,0.9838709677419355,0.9786096256684492,0.9631578947368421,0.9679744260389421,3,optimizer_only,9,9,0.5
F,327,8,334,158,0.4831804281345566,0.47305389221556887,0.31411530815109345,0.38753494305922964,4,optimizer_only,9,9,0.5
G,965,11,1076,947,0.9813471502590674,0.8801115241635687,0.8656307129798904,0.9632489841549674,5,optimizer_only,9,9,0.5
A,141,11,200,134,0.950354609929078,0.67,0.6473429951690821,0.903951367781155,3,optimizer_only,10,10,0.5
