month,ARI,NMI,K,mode,seed,louvain_seed,gamma,adjacent_ARI,adjacent_NMI,same_label_share
2023-01-01,1.0,1.0,8,optimizer_only,0,0,0.5,,,
2023-02-01,1.0,1.0,8,optimizer_only,0,0,0.5,1.0,1.0,1.0
2023-03-01,1.0,1.0,8,optimizer_only,0,0,0.5,0.8928787338278015,0.8831965634244213,0.9548319327731093
2023-04-01,1.0,1.0,8,optimizer_only,0,0,0.5,0.8936453199191968,0.8873167168568823,0.9548319327731093
2023-05-01,1.0,1.0,8,optimizer_only,0,0,0.5,0.9081927216108525,0.8859961831748302,0.9569327731092437
2023-06-01,1.0,1.0,9,optimizer_only,0,0,0.5,0.9206818537933602,0.9025595352878706,0.9627100840336135
2023-07-01,1.0,1.0,9,optimizer_only,0,0,0.5,0.8677849460705443,0.8792362993489132,0.9453781512605042
2023-08-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.8272340726356029,0.8670435818141236,0.9338235294117647
2023-09-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.8539801320317375,0.880355648803121,0.9448529411764706
2023-10-01,1.0,1.0,11,optimizer_only,0,0,0.5,0.8619417884598787,0.8697557677536951,0.9448529411764706
2023-11-01,1.0,1.0,11,optimizer_only,0,0,0.5,0.8615690152223147,0.8802414744076826,0.9448529411764706
2023-12-01,1.0,1.0,11,optimizer_only,0,0,0.5,0.8280341145149471,0.8594113768587823,0.9185924369747899
2024-01-01,1.0,1.0,12,optimizer_only,0,0,0.5,0.7948283123688851,0.8456063441389148,0.8886554621848739
2024-02-01,1.0,1.0,12,optimizer_only,0,0,0.5,0.698673203217349,0.8238958237317032,0.8555672268907563
2024-03-01,1.0,1.0,12,optimizer_only,0,0,0.5,0.7338433076316604,0.8531979866294777,0.8939075630252101
2024-04-01,1.0,1.0,12,optimizer_only,0,0,0.5,0.7299665704168649,0.8358396804752869,0.8834033613445378
2024-05-01,1.0,1.0,11,optimizer_only,0,0,0.5,0.8276234967671241,0.8611364194707443,0.9112394957983193
2024-06-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9169521062867697,0.8636703158680125,0.9185924369747899
2024-07-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9586851280249002,0.9050113400318938,0.9522058823529411
2024-08-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9491739477322458,0.9126032452518098,0.970063025210084
2024-09-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9467632371153568,0.9103407730841749,0.970063025210084
2024-10-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9529787918180571,0.9198828807047741,0.9753151260504201
2024-11-01,1.0,1.0,10,optimizer_only,0,0,0.5,0.9663598583363521,0.937459182871889,0.9805672268907563
2024-12-01,1.0,1.0,10,optimizer_only,0,0,0.5,1.0,1.0,1.0
2023-01-01,0.5651886667377273,0.683599391447903,6,optimizer_only,1,1,0.5,,,
2023-02-01,0.5651886667377273,0.683599391447903,6,optimizer_only,1,1,0.5,1.0,1.0,1.0
2023-03-01,0.5435449615056264,0.6720434339770168,6,optimizer_only,1,1,0.5,0.8508380234663714,0.8431250666545999,0.9432773109243697
2023-04-01,0.5539409207864034,0.680943392079128,6,optimizer_only,1,1,0.5,0.8986445599608633,0.8922898324595636,0.9653361344537815
2023-05-01,0.5798240728342291,0.7123029717280049,6,optimizer_only,1,1,0.5,0.8685465666004265,0.8719318640486112,0.9569327731092437
2023-06-01,0.5899237974736485,0.7233218484012129,7,optimizer_only,1,1,0.5,0.9222265340008345,0.9161284796591146,0.9747899159663865
2023-07-01,0.5558418110324218,0.698967831179595,8,optimizer_only,1,1,0.5,0.9550133697017402,0.9362939487253404,0.9810924369747899
2023-08-01,0.5286831979630597,0.6898879523324305,8,optimizer_only,1,1,0.5,0.9209598820908413,0.9013614860502684,0.9611344537815126
2023-09-01,0.482803715221167,0.6690160405040434,8,optimizer_only,1,1,0.5,0.8173633844800242,0.8458518657570764,0.9070378151260504
2023-10-01,0.4681399879155447,0.662420917957115,8,optimizer_only,1,1,0.5,0.6436803113622,0.7775574846680331,0.8287815126050421
