pair,cross_coassignment,mode,seed,louvain_seed,gamma
A/B,0.0,optimizer_only,0,0,0.5
A/C,0.0,optimizer_only,0,0,0.5
A/D,0.0,optimizer_only,0,0,0.5
A/E,0.0,optimizer_only,0,0,0.5
A/F,0.0,optimizer_only,0,0,0.5
A/G,0.0,optimizer_only,0,0,0.5
B/C,0.0,optimizer_only,0,0,0.5
B/D,0.0,optimizer_only,0,0,0.5
B/E,0.0,optimizer_only,0,0,0.5
B/F,0.0,optimizer_only,0,0,0.5
B/G,0.0,optimizer_only,0,0,0.5
C/D,0.0,optimizer_only,0,0,0.5
C/E,0.0,optimizer_only,0,0,0.5
C/F,0.0,optimizer_only,0,0,0.5
C/G,0.0,optimizer_only,0,0,0.5
D/E,0.0,optimizer_only,0,0,0.5
D/F,0.0,optimizer_only,0,0,0.5
D/G,0.0,optimizer_only,0,0,0.5
E/F,0.0,optimizer_only,0,0,0.5
E/G,0.0,optimizer_only,0,0,0.5
F/G,0.0,optimizer_only,0,0,0.5
A/B,0.0,optimizer_only,1,1,0.5
A/C,0.01173881144534116,optimizer_only,1,1,0.5
A/D,0.09734390209984703,optimizer_only,1,1,0.5
A/E,0.0021352855944482573,optimizer_only,1,1,0.5
A/F,0.1167284794065977,optimizer_only,1,1,0.5
A/G,0.013096681732995259,optimizer_only,1,1,0.5
B/C,0.0,optimizer_only,1,1,0.5
B/D,0.0,optimizer_only,1,1,0.5
B/E,0.08602150537634409,optimizer_only,1,1,0.5
B/F,0.0,optimizer_only,1,1,0.5
B/G,0.0,optimizer_only,1,1,0.5
C/D,0.0,optimizer_only,1,1,0.5
C/E,0.0,optimizer_only,1,1,0.5
C/F,0.002530844669408415,optimizer_only,1,1,0.5
C/G,0.001536537430766482,optimizer_only,1,1,0.5
D/E,0.038583175205566096,optimizer_only,1,1,0.5
D/F,0.9414163218804341,optimizer_only,1,1,0.5
D/G,0.12800975312404755,optimizer_only,1,1,0.5
E/F,0.02065042254447404,optimizer_only,1,1,0.5
E/G,0.0028079558749791074,optimizer_only,1,1,0.5
F/G,0.13069987799274294,optimizer_only,1,1,0.5
A/B,0.014184397163120567,optimizer_only,2,2,0.5
A/C,0.09562240156517486,optimizer_only,2,2,0.5
A/D,0.09219858156028368,optimizer_only,2,2,0.5
A/E,0.014184397163120567,optimizer_only,2,2,0.5
A/F,0.11607781898627106,optimizer_only,2,2,0.5
A/G,0.0018520560026457943,optimizer_only,2,2,0.5
B/C,0.0,optimizer_only,2,2,0.5
B/D,0.0,optimizer_only,2,2,0.5
B/E,1.0,optimizer_only,2,2,0.5
B/F,0.0,optimizer_only,2,2,0.5
B/G,0.0,optimizer_only,2,2,0.5
C/D,0.034482758620689655,optimizer_only,2,2,0.5
C/E,0.0,optimizer_only,2,2,0.5
C/F,0.11926605504587157,optimizer_only,2,2,0.5
C/G,0.2064677505806682,optimizer_only,2,2,0.5
D/E,0.0,optimizer_only,2,2,0.5
D/F,0.45871559633027525,optimizer_only,2,2,0.5
D/G,0.0,optimizer_only,2,2,0.5
E/F,0.0,optimizer_only,2,2,0.5
E/G,0.0,optimizer_only,2,2,0.5
F/G,0.4574606645434235,optimizer_only,2,2,0.5
A/B,0.005789549862498191,optimizer_only,3,3,0.5
A/C,0.1012472487160675,optimizer_only,3,3,0.5
A/D,0.0070921985815602835,optimizer_only,3,3,0.5
A/E,0.014108136963318843,optimizer_only,3,3,0.5
A/F,0.03851909688333659,optimizer_only,3,3,0.5
A/G,0.0021386837173409767,optimizer_only,3,3,0.5
B/C,0.0,optimizer_only,3,3,0.5
B/D,0.0,optimizer_only,3,3,0.5
B/E,0.40915075707702436,optimizer_only,3,3,0.5
B/F,0.003744617112900206,optimizer_only,3,3,0.5
B/G,0.0,optimizer_only,3,3,0.5
C/D,0.0,optimizer_only,3,3,0.5
C/E,0.0,optimizer_only,3,3,0.5
C/F,0.047769693135083835,optimizer_only,3,3,0.5
C/G,0.23534036090762908,optimizer_only,3,3,0.5
D/E,0.0,optimizer_only,3,3,0.5
D/F,0.7706422018348624,optimizer_only,3,3,0.5
D/G,0.015544041450777202,optimizer_only,3,3,0.5
E/F,0.009124987668935583,optimizer_only,3,3,0.5
E/G,0.0,optimizer_only,3,3,0.5
F/G,0.1908066739554119,optimizer_only,3,3,0.5
A/B,0.0,optimizer_only,4,4,0.5
A/C,0.0,optimizer_only,4,4,0.5
A/D,0.00723126129884578,optimizer_only,4,4,0.5
A/E,0.012887973766491269,optimizer_only,4,4,0.5
A/F,0.038649228967401916,optimizer_only,4,4,0.5
A/G,0.0010583177157975968,optimizer_only,4,4,0.5
B/C,0.0,optimizer_only,4,4,0.5
B/D,0.0,optimizer_only,4,4,0.5
B/E,0.0913978494623656,optimizer_only,4,4,0.5
B/F,0.0,optimizer_only,4,4,0.5
B/G,0.0,optimizer_only,4,4,0.5
C/D,0.0,optimizer_only,4,4,0.5
C/E,0.0,optimizer_only,4,4,0.5
C/F,0.005588948644943584,optimizer_only,4,4,0.5
C/G,0.03516169376451671,optimizer_only,4,4,0.5
D/E,0.0178157284419144,optimizer_only,4,4,0.5
D/F,0.014610941216445803,optimizer_only,4,4,0.5
D/G,4.7411019675573166e-05,optimizer_only,4,4,0.5
E/F,0.03334319818486732,optimizer_only,4,4,0.5
E/G,0.0,optimizer_only,4,4,0.5
F/G,0.16610416567634803,optimizer_only,4,4,0.5
A/B,0.0,optimizer_only,5,5,0.5
A/C,0.0,optimizer_only,5,5,0.5
A/D,0.3407036573494646,optimizer_only,5,5,0.5
A/E,0.014946999161137802,optimizer_only,5,5,0.5
A/F,0.19723686208167956,optimizer_only,5,5,0.5
A/G,0.0,optimizer_only,5,5,0.5
B/C,0.0,optimizer_only,5,5,0.5
B/D,0.0,optimizer_only,5,5,0.5
B/E,0.08602150537634409,optimizer_only,5,5,0.5
B/F,0.0,optimizer_only,5,5,0.5
B/G,0.0,optimizer_only,5,5,0.5
C/D,0.0,optimizer_only,5,5,0.5
C/E,0.0,optimizer_only,5,5,0.5
C/F,0.16418854792787094,optimizer_only,5,5,0.5
C/G,0.3100232267286046,optimizer_only,5,5,0.5
D/E,0.05924520345772718,optimizer_only,5,5,0.5
D/F,0.3537806559932842,optimizer_only,5,5,0.5
D/G,0.0,optimizer_only,5,5,0.5
E/F,0.015520699746802143,optimizer_only,5,5,0.5
E/G,0.0,optimizer_only,5,5,0.5
F/G,0.5285037473657525,optimizer_only,5,5,0.5
A/B,0.0,optimizer_only,6,6,0.5
A/C,0.0,optimizer_only,6,6,0.5
A/D,0.0002781254345709915,optimizer_only,6,6,0.5
A/E,0.018111797452909327,optimizer_only,6,6,0.5
A/F,0.006029453228360119,optimizer_only,6,6,0.5
A/G,0.0,optimizer_only,6,6,0.5
B/C,0.0,optimizer_only,6,6,0.5
B/D,0.0,optimizer_only,6,6,0.5
B/E,0.0913978494623656,optimizer_only,6,6,0.5
B/F,0.0,optimizer_only,6,6,0.5
