mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
combined,run,all,ARI_all_supra,50,0.4983548697840434,0.504580439243847,0.07113068827801802,0.27620602128236005,0.6516446948106119,0.39016338078485147,0.4192537873005575,0.4725876151056726,0.5278977729422258,0.5792403364766435,0.6065145770451477
combined,run,all,NMI_all_supra,50,0.6190770924000354,0.6272836144062095,0.04787684369935761,0.4914327452291461,0.6906535551246543,0.5044324075376877,0.5634248781448229,0.598596955868454,0.6496884555644895,0.6664789839466433,0.6732933340262225
combined,run,all,ARI_Dec2024,50,0.6757362312689855,0.7282854135059733,0.17847992892981976,0.01624400083104674,0.890180122100349,0.4432267887029073,0.4628165748583243,0.6289720871109423,0.7861857333083933,0.835892776419766,0.8471820810769681
combined,run,all,NMI_Dec2024,50,0.7022920362917866,0.7307903344259337,0.14631518986837325,0.04921473649592971,0.8484470995528867,0.5936501573951887,0.6395845788243252,0.6793210070988821,0.7776022900895796,0.7929924006674953,0.8122575775911332
combined,run,all,K_supra,50,12.54,12.5,1.5414014296564469,9.0,15.0,10.0,10.0,12.0,14.0,15.0,15.0
combined,run,all,K_Dec2024,50,9.3,9.0,1.0546302185881002,7.0,12.0,8.0,8.0,9.0,10.0,11.0,11.0
combined,run,all,largest_community_n_Dec,50,1004.32,995.5,243.01183644641927,607.0,1877.0,648.5,675.8,882.75,1122.25,1162.7,1208.8999999999999
combined,run,all,largest_community_share_Dec,50,0.5274789915966387,0.5228466386554622,0.12763226704118658,0.31880252100840334,0.9858193277310925,0.34059873949579833,0.354936974789916,0.4636292016806723,0.5894170168067228,0.6106617647058823,0.6349264705882353
combined,run,all,mean_switches,50,1.9123004201680676,1.7205882352941178,0.5925067220840599,1.2347689075630253,3.7300420168067228,1.2674894957983194,1.3638655462184874,1.5069590336134453,2.2624737394957983,2.5727941176470592,3.1432773109243684
combined,run,all,median_switches,50,1.82,2.0,0.6288960200872896,1.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0
