archetype,n_reference,destination,destination_n,intersection,retention,precision,Jaccard,within_pair_coassignment,n_destinations,mode,seed,louvain_seed,gamma
A,141,1,186,134,0.950354609929078,0.7204301075268817,0.694300518134715,0.9035460992907801,4,resolution,0,0,0.25
B,98,3,288,98,1.0,0.3402777777777778,0.3402777777777778,1.0,1,resolution,0,0,0.25
C,29,2,17,17,0.5862068965517241,1.0,0.5862068965517241,0.4975369458128079,2,resolution,0,0,0.25
D,153,5,309,153,1.0,0.49514563106796117,0.49514563106796117,1.0,1,resolution,0,0,0.25
E,186,3,288,186,1.0,0.6458333333333334,0.6458333333333334,1.0,1,resolution,0,0,0.25
F,327,5,309,154,0.4709480122324159,0.49838187702265374,0.31950207468879666,0.38342620213504436,3,resolution,0,0,0.25
G,965,4,1103,964,0.9989637305699481,0.8739800543970988,0.8731884057971014,0.9979274611398964,2,resolution,0,0,0.25
A,141,1,141,141,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
B,98,3,98,98,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
C,29,7,29,29,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
D,153,8,153,153,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
E,186,9,186,186,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
F,327,10,327,327,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
G,965,11,965,965,1.0,1.0,1.0,1.0,1,resolution,0,0,0.5
A,141,9,94,91,0.6453900709219859,0.9680851063829787,0.6319444444444444,0.4714285714285714,6,resolution,0,0,0.75
B,98,13,114,98,1.0,0.8596491228070176,0.8596491228070176,1.0,1,resolution,0,0,0.75
C,29,15,33,28,0.9655172413793104,0.8484848484848485,0.8235294117647058,0.9310344827586207,2,resolution,0,0,0.75
D,153,10,191,151,0.9869281045751634,0.7905759162303665,0.7823834196891192,0.9740282077743379,2,resolution,0,0,0.75
E,186,12,172,170,0.9139784946236559,0.9883720930232558,0.9042553191489362,0.8419064225515839,2,resolution,0,0,0.75
F,327,14,395,161,0.4923547400611621,0.40759493670886077,0.28698752228163993,0.38961745558244687,6,resolution,0,0,0.75
G,965,8,735,731,0.7575129533678756,0.9945578231292517,0.7543859649122807,0.6317438135575001,3,resolution,0,0,0.75
A,141,6,140,140,0.9929078014184397,1.0,0.9929078014184397,0.9858156028368794,2,resolution,0,0,1.0
B,98,21,98,98,1.0,1.0,1.0,1.0,1,resolution,0,0,1.0
C,29,13,31,29,1.0,0.9354838709677419,0.9354838709677419,1.0,1,resolution,0,0,1.0
D,153,18,153,153,1.0,1.0,1.0,1.0,1,resolution,0,0,1.0
E,186,16,107,107,0.5752688172043011,1.0,0.5752688172043011,0.5086893344957861,2,resolution,0,0,1.0
F,327,20,362,325,0.9938837920489296,0.8977900552486188,0.8928571428571429,0.9878051068460254,2,resolution,0,0,1.0
G,965,15,874,872,0.9036269430051813,0.9977116704805492,0.9017580144777663,0.8208844839077247,5,resolution,0,0,1.0
