pair,cross_coassignment,mode,seed,louvain_seed,gamma
A/B,0.014184397163120567,resolution,0,0,0.25
A/C,0.01173881144534116,resolution,0,0,0.25
A/D,0.0070921985815602835,resolution,0,0,0.25
A/E,0.014184397163120567,resolution,0,0,0.25
A/F,0.1621445767453966,resolution,0,0,0.25
A/G,0.02932422004189174,resolution,0,0,0.25
B/C,0.0,resolution,0,0,0.25
B/D,0.0,resolution,0,0,0.25
B/E,1.0,resolution,0,0,0.25
B/F,0.0,resolution,0,0,0.25
B/G,0.0,resolution,0,0,0.25
C/D,0.0,resolution,0,0,0.25
C/E,0.0,resolution,0,0,0.25
C/F,0.15438152483391332,resolution,0,0,0.25
C/G,0.41336430230480614,resolution,0,0,0.25
D/E,0.0,resolution,0,0,0.25
D/F,0.4709480122324159,resolution,0,0,0.25
D/G,0.0,resolution,0,0,0.25
E/F,0.0,resolution,0,0,0.25
E/G,0.0,resolution,0,0,0.25
F/G,0.3728636846191631,resolution,0,0,0.25
A/B,0.0,resolution,0,0,0.5
A/C,0.0,resolution,0,0,0.5
A/D,0.0,resolution,0,0,0.5
A/E,0.0,resolution,0,0,0.5
A/F,0.0,resolution,0,0,0.5
A/G,0.0,resolution,0,0,0.5
B/C,0.0,resolution,0,0,0.5
B/D,0.0,resolution,0,0,0.5
B/E,0.0,resolution,0,0,0.5
B/F,0.0,resolution,0,0,0.5
B/G,0.0,resolution,0,0,0.5
C/D,0.0,resolution,0,0,0.5
C/E,0.0,resolution,0,0,0.5
C/F,0.0,resolution,0,0,0.5
C/G,0.0,resolution,0,0,0.5
D/E,0.0,resolution,0,0,0.5
D/F,0.0,resolution,0,0,0.5
D/G,0.0,resolution,0,0,0.5
E/F,0.0,resolution,0,0,0.5
E/G,0.0,resolution,0,0,0.5
F/G,0.0,resolution,0,0,0.5
A/B,0.0,resolution,0,0,0.75
A/C,0.02739056003912937,resolution,0,0,0.75
A/D,0.00801928336346359,resolution,0,0,0.75
A/E,0.012964233966292992,resolution,0,0,0.75
A/F,0.035482681588478976,resolution,0,0,0.75
A/G,8.08437144012053e-05,resolution,0,0,0.75
B/C,0.0,resolution,0,0,0.75
B/D,0.0,resolution,0,0,0.75
B/E,0.08602150537634409,resolution,0,0,0.75
B/F,0.0,resolution,0,0,0.75
B/G,0.0,resolution,0,0,0.75
C/D,0.0,resolution,0,0,0.75
C/E,0.0,resolution,0,0,0.75
C/F,0.0032690076979858696,resolution,0,0,0.75
C/G,0.026121136323030196,resolution,0,0,0.75
D/E,0.0,resolution,0,0,0.75
D/F,0.12250404749055585,resolution,0,0,0.75
D/G,1.3546005621592332e-05,resolution,0,0,0.75
E/F,0.0,resolution,0,0,0.75
E/G,0.0,resolution,0,0,0.75
F/G,0.1262093771291851,resolution,0,0,0.75
A/B,0.0,resolution,0,0,1.0
A/C,0.0,resolution,0,0,1.0
A/D,0.0,resolution,0,0,1.0
A/E,0.0,resolution,0,0,1.0
A/F,0.0,resolution,0,0,1.0
A/G,0.0,resolution,0,0,1.0
B/C,0.0,resolution,0,0,1.0
B/D,0.0,resolution,0,0,1.0
B/E,0.0,resolution,0,0,1.0
B/F,0.0,resolution,0,0,1.0
B/G,0.0,resolution,0,0,1.0
C/D,0.0,resolution,0,0,1.0
C/E,0.0,resolution,0,0,1.0
C/F,0.0,resolution,0,0,1.0
C/G,0.002072538860103627,resolution,0,0,1.0
D/E,0.0,resolution,0,0,1.0
D/F,0.0,resolution,0,0,1.0
D/G,0.0,resolution,0,0,1.0
E/F,0.0,resolution,0,0,1.0
E/G,0.0,resolution,0,0,1.0
F/G,0.04260430035968373,resolution,0,0,1.0
