panel_index,municipality,reference_profile,consensus_class,second_class,affinity_share_B,affinity_share_E,B_E_balance,B_E_transition_direction,family_votes_B_over_E,family_votes_E_over_B,lofo_class_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
193,Всеволожский муниципальный район,E,E,B,0.32923493636748774,0.6210593832450767,-0.3070884891709823,E-leaning,1,3,4,E,0.45522982111944227,0.29182444687758896
195,Выборгский муниципальный район,E,E,B,0.26995818995015103,0.49032005807444506,-0.28984371011120263,E-leaning,1,3,4,E,0.6798681889489531,0.22036186812429404
207,Гатчинский муниципальный район,E,E,B,0.26995818995015103,0.49032005807444506,-0.28984371011120263,E-leaning,1,3,4,E,0.6798681889489531,0.22036186812429404
504,Ломоносовский муниципальный район,E,E,B,0.299607285875461,0.5992593835216613,-0.3333665690899181,E-leaning,1,3,4,E,0.5310327098006474,0.2996520976462003
507,Лужский муниципальный район,E,E,B,0.26426979332544875,0.47908368771533844,-0.2889794692144625,E-leaning,1,3,4,E,0.6961191730126262,0.21481389438988968
738,Псковский муниципальный район,E,E,B,0.299607285875461,0.5992593835216613,-0.3333665690899181,E-leaning,1,3,4,E,0.5310327098006474,0.2996520976462003
868,Тахтамукайский муниципальный район,E,E,B,0.2929677003069943,0.5861918501201306,-0.33352779898788365,E-leaning,1,3,4,E,0.5556282149508186,0.2932241498131363
898,Тосненский муниципальный район,E,E,B,0.26995818995015103,0.49032005807444506,-0.28984371011120263,E-leaning,1,3,4,E,0.6798681889489531,0.22036186812429404
1090,внутригородская территория города федерального значения  Александровский муниципальный округ,E,B,E,0.5191077841607395,0.43975745495777796,0.08275441215901012,B-leaning,4,0,4,B,0.46105357222337534,0.07935032920296159
1091,внутригородская территория города федерального значения город Зеленогорск,E,E,B,0.30354673942618465,0.6041894744090379,-0.3312005518790811,E-leaning,1,3,4,E,0.5198074247914846,0.30064273498285327
1093,внутригородская территория города федерального значения город Красное Село,E,E,B,0.299607285875461,0.5992593835216613,-0.3333665690899181,E-leaning,1,3,4,E,0.5310327098006474,0.2996520976462003
