panel_index,municipality,consensus_class,second_class,affinity_share_D,affinity_share_F,affinity_share_G,D_G_balance,D_G_transition_direction,family_votes_D_over_G,family_votes_G_over_D,lofo_class_match_count,lofo_DG_side_match_count,anchor_consensus_class,affinity_entropy,affinity_margin
13,Аларский муниципальный район,G,F,0.01073662931225364,0.21698664275661123,0.6097305964354045,-0.9653917922922809,G-leaning,0,4,4,4,G,0.5530327984102414,0.3927439536787933
42,Архаринский муниципальный округ,G,F,0.03037161533584305,0.33042194227809374,0.3469135123681464,-0.8389991382874121,G-leaning,0,4,2,4,G,0.741793384172638,0.016491570090052643
68,Балахнинский муниципальный округ,D,F,0.48672073433811197,0.39198041178599236,0.022091874265366386,0.9131630235107528,D-leaning,4,0,4,4,F,0.5859509750355416,0.09474032255211962
69,Балахтинский муниципальный район,D,F,0.36362723669462776,0.35342611650583644,0.17682307874292283,0.3456453861081894,mixed,2,2,3,4,F,0.7235504487218705,0.010201120188791324
70,Балашовский муниципальный район,G,F,0.11756203154548579,0.3622039686833942,0.3736873540125214,-0.521375354344931,G-leaning,0,4,3,4,G,0.7211325720447997,0.011483385329127183
71,Балейский муниципальный район,G,F,0.026895210173136525,0.3234265030606222,0.4730941068945769,-0.8924168607006694,G-leaning,0,4,4,4,G,0.6468361884947724,0.14966760383395472
75,Барабинский муниципальный район,G,F,0.10563149805641021,0.36188188728359283,0.38852150520196,-0.5724745276872059,G-leaning,0,4,3,4,G,0.7100837366531868,0.026639617918367164
83,Безенчукский муниципальный район,G,F,0.11128053115732328,0.36406504158372494,0.3812893006491385,-0.5481634319779166,G-leaning,0,4,3,4,G,0.7136497175955173,0.017224259065413583
84,Бейский муниципальный район,G,F,0.026856446973886172,0.32315419589909117,0.4854298735857863,-0.8951506378521077,G-leaning,0,4,4,4,G,0.6284036485220791,0.16227567768669515
86,Белебеевский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
89,Беловский муниципальный округ,G,F,0.02999579605978005,0.3221951984837654,0.48412348796091353,-0.8833119200462719,G-leaning,0,4,4,4,G,0.6318071561392127,0.16192828947714816
90,Белогорский муниципальный округ,F,G,0.11523707909656264,0.34921921414326024,0.2551070257032901,-0.3776756394767461,G-leaning,1,3,4,3,F,0.8101815434336339,0.09411218843997016
93,Белорецкий муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
98,Бессоновский муниципальный район,G,F,0.11756203154548579,0.3622039686833942,0.3736873540125214,-0.521375354344931,G-leaning,0,4,3,4,G,0.7211325720447997,0.011483385329127183
100,Бийский муниципальный район,G,F,0.11192320737671724,0.36427192115774654,0.3798042066745299,-0.5447754012549206,G-leaning,0,4,3,4,G,0.7144389590953402,0.015532285516783373
105,Бирский муниципальный район,D,F,0.5231638563255819,0.35969427627739287,0.028696384342369263,0.8960012618135483,D-leaning,4,0,4,4,D,0.5782393422525687,0.16346958004818907
