profile,panel_index,municipality,raw_self_affinity_full
A,14,Алданский муниципальный район,0.9230119121926171
A,23,Амгинский муниципальный район,0.9230119121926171
A,25,Анадырский муниципальный район,0.9230119121926171
A,101,Бикинский муниципальный район,0.9230119121926171
A,102,Билибинский муниципальный район,0.9230119121926171
A,143,Булунский муниципальный район,0.9230119121926171
A,155,Ванинский муниципальный район,0.9230119121926171
A,165,Верхнебуреинский муниципальный район,0.9230119121926171
A,166,Верхневилюйский муниципальный район,0.9230119121926171
A,168,Верхнеколымский муниципальный район,0.9230119121926171
A,175,Верхоянский муниципальный район,0.9230119121926171
A,179,Вилюйский муниципальный район,0.9230119121926171
A,205,Газимуро-Заводский муниципальный округ,0.9230119121926171
A,215,Горный муниципальный район,0.9230119121926171
A,258,Елизовский муниципальный район,0.9230119121926171
A,292,Зейский муниципальный округ,0.9230119121926171
A,362,Карагинский муниципальный район,0.9230119121926171
A,378,Катангский муниципальный район,0.9230119121926171
A,408,Кобяйский муниципальный район,0.9230119121926171
A,542,Мегино-Кангаласский муниципальный район,0.9230119121926171
A,556,Мильковский муниципальный округ,0.9230119121926171
A,562,Могойтуйский муниципальный район,0.9230119121926171
A,585,Намский муниципальный район,0.9230119121926171
A,638,Нюрбинский муниципальный район,0.9230119121926171
A,641,Облученский муниципальный район,0.9230119121926171
A,645,Оймяконский муниципальный район,0.9230119121926171
A,649,Олекминский муниципальный район,0.9230119121926171
A,650,Оленекский эвенкийский национальный муниципальный район,0.9230119121926171
A,656,Олюторский муниципальный район,0.9230119121926171
A,671,Охотский муниципальный округ,0.9230119121926171
A,804,Соболевский муниципальный район,0.9230119121926171
A,806,Советско-Гаванский муниципальный район,0.9230119121926171
A,855,Таймырский Долгано-Ненецкий муниципальный район,0.9230119121926171
A,866,Таттинский муниципальный район,0.9230119121926171
A,891,Томпонский муниципальный район,0.9230119121926171
A,911,Туруханский муниципальный район,0.9230119121926171
B,1104,внутригородская территория города федерального значения муниципальный округ Адмиралтейский округ,0.9872680484634084
B,1123,внутригородская территория города федерального значения муниципальный округ Бутырский,0.9872680484634084
B,1124,внутригородская территория города федерального значения муниципальный округ Васильевский,0.9872680484634084
B,1125,внутригородская территория города федерального значения муниципальный округ Введенский,0.9872680484634084
B,1127,внутригородская территория города федерального значения муниципальный округ Владимирский округ,0.9872680484634084
B,1135,внутригородская территория города федерального значения муниципальный округ Гавань,0.9872680484634084
B,1145,внутригородская территория города федерального значения муниципальный округ Дворцовый округ,0.9872680484634084
B,1152,внутригородская территория города федерального значения муниципальный округ Звездное,0.9872680484634084
B,1157,внутригородская территория города федерального значения муниципальный округ Измайлово,0.9872680484634084
B,1158,внутригородская территория города федерального значения муниципальный округ Измайловское,0.9872680484634084
B,1161,внутригородская территория города федерального значения муниципальный округ Коломна,0.9872680484634084
B,1162,внутригородская территория города федерального значения муниципальный округ Коломяги,0.9872680484634084
B,1165,внутригородская территория города федерального значения муниципальный округ Коньково,0.9872680484634084
B,1171,внутригородская территория города федерального значения муниципальный округ Кронверкское,0.9872680484634084
B,1178,внутригородская территория города федерального значения муниципальный округ Ланское,0.9872680484634084
B,1180,внутригородская территория города федерального значения муниципальный округ Левобережный,0.9877835118893495
B,1181,внутригородская территория города федерального значения муниципальный округ Лефортово,0.9872680484634084
B,1183,внутригородская территория города федерального значения муниципальный округ Лиговка-Ямская,0.9872680484634084
B,1184,внутригородская территория города федерального значения муниципальный округ Литейный округ,0.9872680484634084
B,1199,внутригородская территория города федерального значения муниципальный округ Морской,0.9872680484634084
B,1201,внутригородская территория города федерального значения муниципальный округ Московская застава,0.9872680484634084
B,1203,внутригородская территория города федерального значения муниципальный округ Нагатинский затон,0.9872680484634084
B,1204,внутригородская территория города федерального значения муниципальный округ Нагорный,0.9872680484634084
B,1222,внутригородская территория города федерального значения муниципальный округ Остров Декабристов,0.9872680484634084
B,1227,внутригородская территория города федерального значения муниципальный округ Пискаревка,0.9872680484634084
C,0,Абазинский муниципальный район,0.7322023830243519
C,12,Алагирский муниципальный район,0.7322023830243519
C,34,Ардонский муниципальный район,0.7322023830243519
C,237,Дигорский муниципальный район,0.7322023830243519
C,326,Ирафский муниципальный район,0.7322023830243519
C,726,Правобережный муниципальный район,0.7322023830243519
C,948,Усть-Джегутинский муниципальный район,0.7322023830243519
C,974,Хабезский муниципальный район,0.7322023830243519
D,21,Альметьевский муниципальный район,0.982127195126132
D,256,Елабужский муниципальный район,0.982127195126132
D,264,Емельяновский муниципальный район,0.982127195126132
D,293,Зеленодольский муниципальный район,0.982127195126132
