panel_index,municipality,reference_profile,perturbation_affinity_share_A,perturbation_affinity_share_B,perturbation_affinity_share_C,perturbation_affinity_share_D,perturbation_affinity_share_E,perturbation_affinity_share_F,perturbation_affinity_share_G,alpha_affinity_share_A,alpha_affinity_share_B,alpha_affinity_share_C,alpha_affinity_share_D,alpha_affinity_share_E,alpha_affinity_share_F,alpha_affinity_share_G,gamma_affinity_share_A,gamma_affinity_share_B,gamma_affinity_share_C,gamma_affinity_share_D,gamma_affinity_share_E,gamma_affinity_share_F,gamma_affinity_share_G,algorithm_affinity_share_A,algorithm_affinity_share_B,algorithm_affinity_share_C,algorithm_affinity_share_D,algorithm_affinity_share_E,algorithm_affinity_share_F,algorithm_affinity_share_G
0,Абазинский муниципальный район,C,0.07660149740597377,0.035930718118277694,0.6463806035872864,0.07214373250813386,0.03766629851877615,0.07576815007791532,0.05550899978363679,0.022496263209496818,0.0,0.9742488845655658,0.0,0.0,0.0019400447171492668,0.0013148075077882076,0.011041819774575324,0.0,0.9869612101438856,0.0,0.0,0.00119028791147945,0.000806682170059648,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,Абанский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
2,Абатский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
3,Абзелиловский муниципальный район,G,0.17804245658278356,0.01667231129475162,0.36386841317095414,0.06774488580428692,0.024156924160943883,0.13948827414817783,0.21002673483810202,0.02207619420624348,0.0,0.31008171632217857,0.33455774923448733,0.04276768089058997,0.26970763258086455,0.020809026765636146,0.00784498563205738,0.0,0.4005000415012665,0.0,0.0,0.10570938208334196,0.48594559078333405,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
4,Агинский муниципальный район,A,0.553715703426561,0.024198340184056318,0.05974140928270371,0.1467241023971875,0.040164742610682015,0.1376772136266839,0.03777848847212562,0.8991561148274639,0.0,0.0,0.006304653097730947,0.002593042806324825,0.09144639034415253,0.0004997989243278936,0.9396145928590668,0.0,0.0,0.0,0.0,0.06000884043927046,0.0003765667016626644,0.9819351312901743,0.0,0.0,0.0,0.005515604171907575,0.012549264537918152,0.0
5,Агрызский муниципальный район,G,0.03137920498209055,0.027144837662776748,0.12595166026903848,0.04107990468604312,0.027863195113878143,0.21134530457292355,0.5352358927132493,0.008195633075619364,0.0,0.019923866614867763,0.27945501800984457,0.03572370707558279,0.35162273466177946,0.30507904056230606,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
6,Адамовский муниципальный район,G,0.02690719556445206,0.026780246907324105,0.09425001175658107,0.027018765141488023,0.0271965201753136,0.18355572247022042,0.6142915379846208,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
7,Азнакаевский муниципальный район,G,0.054873965495278614,0.023052351371327846,0.09767903761628159,0.18942757910266128,0.02920041567713565,0.3482248972745066,0.25754175346280844,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.007782245282992544,0.0,0.1229728931355632,0.0,0.0,0.37751029282084475,0.4917345687605995,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
8,Азовский немецкий национальный муниципальный район,G,0.026248452287070005,0.026124611593172756,0.09514455751969861,0.026357290412266005,0.02653069363866249,0.19979154356460735,0.5998028509845228,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
9,Акбулакский муниципальный район,G,0.02812403485452541,0.026563215344169097,0.10836956681655077,0.02679980058699874,0.026976115064544785,0.1979898394542056,0.5851774278790056,0.0,0.0,0.13228028676545173,0.0,0.0,0.19303286773195893,0.6746868455025894,0.008048399014038726,0.0,0.12717858097183607,0.0,0.0,0.11018553596554302,0.7545874840485822,0.015215116502984521,0.0,0.18494236438972567,0.0,0.0,0.26406602426166026,0.5357764948456295
