panel_index,municipality,reference_profile,full_consensus_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin
0,Абазинский муниципальный район,C,C,True,False,True,True,True,True,True,True,4,True,3,False,0.3337111396786656,0.7954491468574326
1,Абанский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
2,Абатский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
3,Абзелиловский муниципальный район,G,G,True,True,True,True,True,True,False,True,3,False,4,True,0.13024499253596034,0.01229818116344461
4,Агинский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3472306933068954,0.6481270576008394
5,Агрызский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.12828993640636666,0.1775623027808822
6,Адамовский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
7,Азнакаевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.18938560737412502,0.10242992419313252
8,Азовский немецкий национальный муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08268259208397688,0.3745918195054224
9,Акбулакский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08691273482923201,0.3704823193020761
10,Аксубаевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08112135226283124,0.38123781467072804
11,Актанышский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
12,Алагирский муниципальный район,C,C,True,False,True,True,True,True,True,True,4,True,3,False,0.3337111396786656,0.7954491468574326
13,Аларский муниципальный район,F,G,True,True,True,True,True,True,True,True,4,True,4,True,0.10105658663141742,0.3313599027021799
14,Алданский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3233210648772359,0.6710147435318765
15,Александро-Невский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08172010171770971,0.38057734974880597
16,Александрово-Гайский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
17,Александровский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08195426373329329,0.37823569959182246
18,Аликовский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
19,Алькеевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09250872711182917,0.36358990301641025
20,Альменевский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844
21,Альметьевский муниципальный район,D,D,True,True,True,True,True,True,True,True,4,True,4,True,0.17441710853709952,0.26891145699373514
22,Альшеевский муниципальный район,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.09627796074523148,0.35423044224126576
23,Амгинский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3233210648772359,0.6710147435318765
24,Амурский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.34724087797677483,0.6362810925580799
25,Анадырский муниципальный район,A,A,True,True,True,True,True,True,True,True,4,True,4,True,0.3233210648772359,0.6710147435318765
26,Андроповский муниципальный округ,G,G,True,True,True,True,True,True,True,True,4,True,4,True,0.08172930747103813,0.38085391065998475
