omitted_family,reference_profile,n,share_matches_full_consensus,share_matches_reference,median_affinity_entropy,median_affinity_margin,share_D_side,share_G_side
perturbation,ALL,1904,0.9847689075630253,0.8172268907563025,0.4814037393100379,0.3697792575855536,0.38760504201680673,0.6123949579831933
perturbation,A,141,0.9716312056737588,0.9645390070921985,0.12907542318728668,0.8840375905540587,0.9645390070921985,0.03546099290780142
perturbation,B,98,1.0,1.0,0.34129644344129123,0.326051113954265,1.0,0.0
perturbation,C,29,0.7241379310344828,0.6551724137931034,0.041307794006993206,0.9739534353177876,0.0,1.0
perturbation,D,153,1.0,0.9869281045751634,0.3994740974773446,0.3697792575855536,1.0,0.0
perturbation,E,186,0.9946236559139785,0.9032258064516129,0.3684128229224419,0.2992611498052145,1.0,0.0
perturbation,F,327,0.9510703363914373,0.0581039755351682,0.5256290509211141,0.13457655967514748,0.4954128440366973,0.5045871559633027
perturbation,G,965,1.0,1.0,0.4814037393100379,0.43689250981296945,0.0,1.0
alpha,ALL,1904,0.9779411764705882,0.8382352941176471,0.5591403903764978,0.3685903139336973,0.3960084033613445,0.6039915966386554
alpha,A,141,0.9716312056737588,0.9645390070921985,0.4302497034224947,0.7137034516283243,0.9645390070921985,0.03546099290780142
alpha,B,98,1.0,1.0,0.45265658477591963,0.2262552452533329,1.0,0.0
alpha,C,29,0.8275862068965517,0.7586206896551724,0.36171276266883196,0.8077020442259435,0.5172413793103449,0.4827586206896552
alpha,D,153,0.9934640522875817,0.9934640522875817,0.5328011293239925,0.3977009347231283,1.0,0.0
alpha,E,186,0.9946236559139785,0.9032258064516129,0.47641129515075265,0.18420075302984024,1.0,0.0
alpha,F,327,0.908256880733945,0.16819571865443425,0.6551258283651226,0.053332750295125464,0.4984709480122324,0.5015290519877675
alpha,G,965,1.0,1.0,0.5614670786613569,0.4109304933373752,0.0,1.0
gamma,ALL,1904,0.9873949579831933,0.8177521008403361,0.5662464053038064,0.34555201953981274,0.39653361344537813,0.6034663865546218
gamma,A,141,1.0,0.9645390070921985,0.4368459887313296,0.6985553831496725,0.9716312056737588,0.028368794326241134
gamma,B,98,1.0,1.0,0.448157848812157,0.2737946996170498,1.0,0.0
gamma,C,29,0.7241379310344828,0.6551724137931034,0.3750189336856588,0.7954491468574326,0.5172413793103449,0.4827586206896552
gamma,D,153,1.0,0.9869281045751634,0.5738912060144441,0.26891145699373514,1.0,0.0
gamma,E,186,0.9946236559139785,0.9032258064516129,0.4857778229180395,0.2568485299510174,1.0,0.0
gamma,F,327,0.9541284403669725,0.06116207951070336,0.6453434110030498,0.15542563073471588,0.4984709480122324,0.5015290519877675
gamma,G,965,1.0,1.0,0.5641665941971064,0.3749774809977796,0.0,1.0
algorithm,ALL,1904,0.930672268907563,0.8849789915966386,0.5280297422528341,0.45978359121194423,0.40861344537815125,0.5913865546218487
algorithm,A,141,0.9858156028368794,0.950354609929078,0.4523964880645226,0.6710147435318765,0.9716312056737588,0.028368794326241134
algorithm,B,98,1.0,1.0,0.41729825657114933,0.46461728928212004,1.0,0.0
algorithm,C,29,1.0,0.9310344827586207,0.3554144919006897,0.8065277618794554,0.5172413793103449,0.4827586206896552
algorithm,D,153,0.9869281045751634,1.0,0.5642338400743024,0.3499630724914168,1.0,0.0
algorithm,E,186,0.989247311827957,0.9193548387096774,0.49463459288436246,0.4570952645262175,1.0,0.0
algorithm,F,327,0.6299694189602446,0.43119266055045874,0.6693692943577146,0.06546352598489719,0.5688073394495413,0.43119266055045874
algorithm,G,965,0.9958549222797928,0.9958549222797928,0.5186833769181964,0.49855009705282083,0.0,1.0
