panel_index,municipality,reference_profile,consensus_class,second_class,top_affinity_share,second_affinity_share,affinity_margin,affinity_entropy,consensus_matches_reference,raw_affinity_A,affinity_share_A,raw_affinity_B,affinity_share_B,raw_affinity_C,affinity_share_C,raw_affinity_D,affinity_share_D,raw_affinity_E,affinity_share_E,raw_affinity_F,affinity_share_F,raw_affinity_G,affinity_share_G,D_G_balance,B_E_balance,family_votes_D_over_G,family_votes_G_over_D,family_votes_B_over_E,family_votes_E_over_B,D_G_transition_direction,B_E_transition_direction,perturbation_peer_coassignment,destination_precision,destination_jaccard,stability_class,without_perturbation_class_matches_full,without_perturbation_DG_side_matches_full,without_alpha_class_matches_full,without_alpha_DG_side_matches_full,without_gamma_class_matches_full,without_gamma_DG_side_matches_full,without_algorithm_class_matches_full,without_algorithm_DG_side_matches_full,lofo_class_match_count,lofo_all_class_match,lofo_DG_side_match_count,lofo_all_DG_side_match,lofo_entropy_range,lofo_min_margin,anchor_consensus_class,anchor_second_class,anchor_top_affinity_share,anchor_affinity_margin,anchor_affinity_entropy,anchor_class_matches_full,anchor_vs_all_L1_affinity_share
0,Абазинский муниципальный район,C,C,A,0.8748161489097994,0.033202280471481084,0.8416138684383183,0.30481732519808363,True,0.027789597749604402,0.033202280471481084,0.009846938555413971,0.011764863192629321,0.7322023830243519,0.8748161489097994,0.01977124138814367,0.023622159188966523,0.010322580414433633,0.012333147575492412,0.021401630694599143,0.02557010544995221,0.015644213830366963,0.018691295211679036,0.1165318229658002,-0.023582211342309246,1,2,0,1,,,0.7085714285714286,0.8393131386968361,0.5899290715372216,unresolved,True,False,True,True,True,True,True,True,4,True,3,False,0.3337111396786656,0.7954491468574326,C,F,0.9121245844440906,0.8926585111924199,0.231802261132395,True,0.07461687106858228
1,Абанский муниципальный район,G,G,F,0.6319625788392381,0.19659348883121333,0.4353690900080248,0.5346575290292097,True,0.019349882042312874,0.013021559256734861,0.009846938555413971,0.006626525868031797,0.2056321818381548,0.13838077333194707,0.009934640300819298,0.006685545012035738,0.009999999776482582,0.006729528860799131,0.29213558408554174,0.19659348883121333,0.9390888690515673,0.6319625788392381,-0.9790634474216582,-0.007712082262210831,0,4,0,1,,,0.9034854771784228,0.9079511089614986,0.8146376943842004,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844,G,F,0.812380248532921,0.669701545432235,0.3379852472479591,True,0.3697787381235158
2,Абатский муниципальный район,G,G,F,0.6319625788392381,0.19659348883121333,0.4353690900080248,0.5346575290292097,True,0.019349882042312874,0.013021559256734861,0.009846938555413971,0.006626525868031797,0.2056321818381548,0.13838077333194707,0.009934640300819298,0.006685545012035738,0.009999999776482582,0.006729528860799131,0.29213558408554174,0.19659348883121333,0.9390888690515673,0.6319625788392381,-0.9790634474216582,-0.007712082262210831,0,4,0,1,,,0.9034854771784228,0.9079511089614986,0.8146376943842004,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844,G,F,0.812380248532921,0.669701545432235,0.3379852472479591,True,0.3697787381235158
3,Абзелиловский муниципальный район,G,G,C,0.3271318275272328,0.2993397244450633,0.027792103082169506,0.7781216372660185,True,0.06973995377989949,0.04902042163616006,0.00489795907419555,0.003442790050183886,0.42586207646748114,0.2993397244450633,0.14081698941566,0.09898068209904527,0.022553763873074003,0.015853107933362833,0.2933995884470072,0.2062314463089519,0.4654011077467831,0.3271318275272328,-0.5354246596240215,-0.6431583486687695,1,3,0,2,,,0.246804979253112,0.394192553264136,0.2130564232019406,transition,True,True,True,True,True,True,False,True,3,False,4,True,0.13024499253596034,0.01229818116344461,G,C,0.39238135545428987,0.1607738887767413,0.7523722578569659,True,0.17528889236201184
4,Агинский муниципальный район,A,A,F,0.8016076479538192,0.08475420976214389,0.7168534381916754,0.4071072326614164,True,0.9131190612912178,0.8016076479538192,0.009846938555413971,0.008644416253658475,0.02431034450900966,0.02134153026578781,0.061339867989124816,0.05384895506948391,0.018360214973849955,0.016118039109053815,0.09654434392690112,0.08475420976214389,0.015588946110650974,0.013685201586052962,0.5947176284185977,-0.3018126734980104,2,1,0,3,,,0.901285714285714,0.6910176895355035,0.6527223284143757,expansive_core,True,True,True,True,True,True,True,True,4,True,4,True,0.3472306933068954,0.6481270576008394,A,D,0.8508096235194559,0.7992454055614882,0.3332852025921182,True,0.09840395113127332
5,Агрызский муниципальный район,G,G,F,0.5127950159287148,0.24706601382364826,0.26572900210506656,0.6750226761015582,True,0.024385342268762013,0.015678900191158154,0.009846938555413971,0.006331228206568071,0.17787356491618114,0.11436632056376211,0.1358169940318547,0.08732545437414031,0.02556451649395048,0.016437066912008316,0.3842609645200705,0.24706601382364826,0.7975484137713167,0.5127950159287148,-0.7089735854866911,-0.4438557499720306,0,4,0,2,,,0.7766390041493776,0.8574691280071812,0.6880156103979005,unresolved,True,True,True,True,True,True,True,True,4,True,4,True,0.12828993640636666,0.1775623027808822,G,F,0.6231791526912741,0.3876835882164982,0.5330413079167787,True,0.262631043765825
6,Адамовский муниципальный район,G,G,F,0.6319625788392381,0.19659348883121333,0.4353690900080248,0.5346575290292097,True,0.019349882042312874,0.013021559256734861,0.009846938555413971,0.006626525868031797,0.2056321818381548,0.13838077333194707,0.009934640300819298,0.006685545012035738,0.009999999776482582,0.006729528860799131,0.29213558408554174,0.19659348883121333,0.9390888690515673,0.6319625788392381,-0.9790634474216582,-0.007712082262210831,0,4,0,1,,,0.9034854771784228,0.9079511089614986,0.8146376943842004,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08088927043115202,0.38387056416025844,G,F,0.812380248532921,0.669701545432235,0.3379852472479591,True,0.3697787381235158
7,Азнакаевский муниципальный район,G,G,F,0.4827784606822561,0.29296354474470554,0.18981491593755057,0.6626070298937934,True,0.0328959801980684,0.021148237127624484,0.009846938555413971,0.00633042062577818,0.21270115397356706,0.1367417664549936,0.08091503127289364,0.05201882595517811,0.012473118005781084,0.008018744409464047,0.4557033717996848,0.29296354474470554,0.7509595521752765,0.4827784606822561,-0.8054633886336665,-0.11766007147727861,0,4,0,1,,,0.4400414937759336,0.5025179649182041,0.3600967182823689,transition,True,True,True,True,True,True,True,True,4,True,4,True,0.18938560737412502,0.10242992419313252,G,F,0.6054790105863669,0.3221379778891067,0.5368250759295256,True,0.27164826528164576
8,Азовский немецкий национальный муниципальный район,G,G,F,0.6282011401917028,0.20060583408092,0.4275953061107828,0.536552155893061,True,0.019349882042312874,0.012941195842058021,0.009846938555413971,0.006585629825115584,0.20683907672505955,0.1383339182035402,0.009934640300819298,0.006644284728566612,0.009999999776482582,0.006687997128096655,0.2999490366918277,0.20060583408092,0.9392963455549415,0.6282011401917028,-0.9790680235920388,-0.007712082262210755,0,4,0,1,,,0.9043153526970952,0.8922943012292854,0.8108885964895123,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08268259208397688,0.3745918195054224,G,F,0.8080559488639859,0.6610972239135662,0.34187453003536705,True,0.368948695274384
9,Акбулакский муниципальный район,G,G,F,0.6246787058024139,0.2001606866113921,0.42451801919102183,0.5399760689570088,True,0.019881796527733194,0.013352517962041446,0.009846938555413971,0.006613156097281227,0.21114942206647888,0.14180692609365408,0.009934640300819298,0.00667205616343941,0.009999999776482582,0.006715951269777826,0.298037722575783,0.2001606866113921,0.9301417874350093,0.6246787058024139,-0.9788641859157201,-0.007712082262210814,0,4,0,1,,,0.8676970954356844,0.8880845860367611,0.7761112792512046,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08691273482923201,0.3704823193020761,G,F,0.8070607089700043,0.6596952391262026,0.3435838517424133,True,0.37447857511366833
10,Аксубаевский муниципальный район,G,G,F,0.6311624018536958,0.1979772564661826,0.4331851453875132,0.5349643408159367,True,0.019349882042312874,0.013003635211360201,0.009846938555413971,0.00661740452180949,0.2051149406952077,0.13784269378840355,0.009934640300819298,0.006676342426555195,0.009999999776482582,0.006720265731993057,0.29459735661722286,0.1979772564661826,0.9391926047527444,0.6311624018536958,-0.9790657357006779,-0.007712082262210769,0,4,0,1,,,0.903900414937759,0.9031232963106052,0.8136167729002638,stable_core,True,True,True,True,True,True,True,True,4,True,4,True,0.08112135226283124,0.38123781467072804,G,F,0.8110901213227203,0.6671437492077059,0.3391667581760243,True,0.3688785116452593
